action_key,notice_id,notice_key,institution_source_title,institution_source_town,institution_source_type,institution_row_index,action_type,improvement_status,ordered_date,deadline_date,visit_date,source_language,source_evidence,raw_detail_file,raw_detail_sha256,raw_pdf_file,raw_pdf_sha256,pdf_page,pdf_row,registry_ids,registry_titles,entity,join_status,join_evidence,candidate_penalty_links
ntpc-kidedu-6097-action-475234dea6fd5f6a,6097,ntpc-kidedu-6097,新北市私立博士兒幼兒園,淡水區,私立,1,corrective_order_followup,ordered,2016-05-11,,2016-11-16,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","1
淡水區
私人
新北市私立博士兒幼兒園
11月16日
星期三",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,1,"[""2a971bfe-707e-4a79-ad1d-0ad5da741c2a""]","[""新北市私立博士兒幼兒園""]",新北市私立博士兒幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,"[{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_1573fffcb744edeedc96"",""penalty_registry_id"":""2a971bfe-707e-4a79-ad1d-0ad5da741c2a"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_6f7f9d583f371561bdec"",""penalty_registry_id"":""2a971bfe-707e-4a79-ad1d-0ad5da741c2a"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_94259bf8199139662459"",""penalty_registry_id"":""2a971bfe-707e-4a79-ad1d-0ad5da741c2a"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_b9a2719b0c240e5e5493"",""penalty_registry_id"":""2a971bfe-707e-4a79-ad1d-0ad5da741c2a"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_eb6b2995fe304a8b2876"",""penalty_registry_id"":""2a971bfe-707e-4a79-ad1d-0ad5da741c2a"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_f56e298896ff827cab00"",""penalty_registry_id"":""2a971bfe-707e-4a79-ad1d-0ad5da741c2a"",""relationship"":""candidate only; not asserted to be the same event""}]"
ntpc-kidedu-6097-action-a95f222019024bf7,6097,ntpc-kidedu-6097,新北市私立唯寶幼兒園,淡水區,私立,2,corrective_order_followup,ordered,2016-05-11,,2016-11-16,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","2
淡水區
私人
新北市私立唯寶幼兒園
11月16日
星期三",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,2,"[""a3bece0f-4547-4e4f-a5e6-09ddc28ae480""]","[""新北市私立唯寶幼兒園""]",新北市私立唯寶幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,"[{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_ff8c1aa32f80529f02c1"",""penalty_registry_id"":""a3bece0f-4547-4e4f-a5e6-09ddc28ae480"",""relationship"":""candidate only; not asserted to be the same event""}]"
ntpc-kidedu-6097-action-bdc119ed4d9bbd3d,6097,ntpc-kidedu-6097,新北市私立小親親幼兒園,淡水區,私立,3,corrective_order_followup,ordered,2016-05-11,,2016-11-16,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","3
淡水區
私人
新北市私立小親親幼兒園
11月16日
星期三",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,3,"[""1ff04a14-59b9-4537-b84c-31be0cf1bd01""]","[""新北市私立小親親幼兒園""]",新北市私立小親親幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,"[{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_141a94bf4fe8618432f2"",""penalty_registry_id"":""1ff04a14-59b9-4537-b84c-31be0cf1bd01"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_2ebf2d4eb6198c5b76e0"",""penalty_registry_id"":""1ff04a14-59b9-4537-b84c-31be0cf1bd01"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_4a7c3a1ae6d6af5349f1"",""penalty_registry_id"":""1ff04a14-59b9-4537-b84c-31be0cf1bd01"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_58752f9d9b5be739554b"",""penalty_registry_id"":""1ff04a14-59b9-4537-b84c-31be0cf1bd01"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_769c49a55bfd682578b9"",""penalty_registry_id"":""1ff04a14-59b9-4537-b84c-31be0cf1bd01"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_ae1d656daf487ed77bd4"",""penalty_registry_id"":""1ff04a14-59b9-4537-b84c-31be0cf1bd01"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_d34f9e58b67536f1cef4"",""penalty_registry_id"":""1ff04a14-59b9-4537-b84c-31be0cf1bd01"",""relationship"":""candidate only; not asserted to be the same event""}]"
ntpc-kidedu-6097-action-eabe6b908a581109,6097,ntpc-kidedu-6097,新北市私立安迪生幼兒園,永和區,私立,4,corrective_order_followup,ordered,2016-05-11,,2016-11-17,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","4
永和區
私人
新北市私立安迪生幼兒園
11月17日
星期四",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,4,"[""ea94c3db-d304-4ad2-b6d5-2baa61c63705""]","[""新北市私立安迪生幼兒園""]",新北市私立安迪生幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,[]
ntpc-kidedu-6097-action-0a16808aa59d5f39,6097,ntpc-kidedu-6097,新北市私立艾蒙幼兒園,中和區,私立,5,corrective_order_followup,ordered,2016-05-11,,2016-11-17,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","5
中和區
私人
新北市私立艾蒙幼兒園
11月17日
星期四",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,5,"[""bb0ccca3-321f-4e69-a7a3-bff247177591""]","[""新北市私立艾蒙幼兒園""]",新北市私立艾蒙幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,"[{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_0121cd77bb266aa295b8"",""penalty_registry_id"":""bb0ccca3-321f-4e69-a7a3-bff247177591"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_c23e16f8705cf19c75fc"",""penalty_registry_id"":""bb0ccca3-321f-4e69-a7a3-bff247177591"",""relationship"":""candidate only; not asserted to be the same event""}]"
ntpc-kidedu-6097-action-a878431600c5d7cb,6097,ntpc-kidedu-6097,新北市私立安邦幼兒園,中和區,私立,6,corrective_order_followup,ordered,2016-05-11,,2016-11-22,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","6
中和區
私人
新北市私立安邦幼兒園
11月22日
星期二",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,6,"[""96247b6a-7517-4ba7-8496-416d167b0c1f""]","[""新北市私立安邦幼兒園""]",新北市私立安邦幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,[]
ntpc-kidedu-6097-action-08c7f01836c063b4,6097,ntpc-kidedu-6097,新北市私立景光幼兒園,中和區,私立,7,corrective_order_followup,ordered,2016-05-11,,2016-11-22,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","7
中和區
私人
新北市私立景光幼兒園
11月22日
星期二",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,7,"[""d3529bca-98d5-4761-9ff3-40ee3716d1dc""]","[""新北市私立景光幼兒園""]",新北市私立景光幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,"[{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_1267e56ed5222b7c4e7a"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_1af21fe33c514ba53a99"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_37e16491981bef76e189"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_3d8ae718cafab3770998"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_4f508e3935a011c78a8c"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_6ea076d9f38681561902"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_721e40fb56523c93fae3"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_7bb6aaeb3e757b3523e5"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_859df4630311a7c9dddc"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_87b515e7936f856e1d71"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_8baab17232b0bffec02e"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_91171c42650aeaebad74"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_b77d65898a62c9e6ef4b"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_cd7a31e4a558d1fd8e63"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_d7e816fd3edf44d9874f"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_deea744d95bff61de45d"",""penalty_registry_id"":""d3529bca-98d5-4761-9ff3-40ee3716d1dc"",""relationship"":""candidate only; not asserted to be the same event""}]"
ntpc-kidedu-6097-action-48d3f33b63e41766,6097,ntpc-kidedu-6097,新北市私立傳動幼兒園,永和區,私立,8,corrective_order_followup,ordered,2016-05-11,,2016-11-22,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","8
永和區
私人
新北市私立傳動幼兒園
11月22日
星期二",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,8,"[""8b394672-9045-4408-bc7e-7b8f918f0dea""]","[""新北市私立傳動幼兒園""]",新北市私立傳動幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,"[{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_02263bfbec2a92cc4e3c"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_1dd7b73f8eb57db3f423"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_4999af607697fffe629b"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_7d6f87b10f8722a751e6"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_8b0f09a5fa85fe6fa77e"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_afbf499d036f1aa5e869"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_cc76eaf60080aaa115ff"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""},{""basis"":""shared sibling registry UUID only"",""group_record_count"":1,""group_record_index"":1,""penalty_group_id"":""pengrp_ea1bca7bb00aa02eb887"",""penalty_registry_id"":""8b394672-9045-4408-bc7e-7b8f918f0dea"",""relationship"":""candidate only; not asserted to be the same event""}]"
ntpc-kidedu-6097-action-5b2f577f78d79774,6097,ntpc-kidedu-6097,新北市私立卡兒堡幼兒園,永和區,私立,9,corrective_order_followup,ordered,2016-05-11,,2016-11-22,"二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。
三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","9
永和區
私人
新北市私立卡兒堡幼兒園
11月22日
星期二",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,raw/002_6097_attachment_pdf.pdf,2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e,1,9,"[""12e13348-be68-4038-bc53-b123a74ee353""]","[""新北市私立卡兒堡幼兒園""]",新北市私立卡兒堡幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,[]
ntpc-kidedu-6098-action-95f4371f61aaa961,6098,ntpc-kidedu-6098,新北市私立喜星園幼兒園,三重區,私立,1,corrective_order_followup,ordered,2016-05-03,,2016-11-15,"二、本市104學年度幼兒園基礎評鑑結果報告已於105年5月3日新北教幼字第1050760195號函函文至各校(園)，未通過基礎評鑑之受評園，應於評鑑結果公布後6個月內限期改善。
三、本局謹訂於本（105）年11月15日（星期二）至11月25日（星期五）辦理追蹤評鑑，針對未通過之評鑑項目進行實地訪視評鑑，其結果將另行公布。
四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。","1
三重區
私人
新北市私立喜星園幼兒園
11月15日
星期二",raw/003_6098_detail.html,8989b6aa04479ae105bc72085dc181d9b8216b3d1a83da72c3ff95265b27d53f,raw/004_6098_attachment_pdf.pdf,f39646ac937a239be1def5a80dc7596961a8c3f8d460720325e6b321c96ba94b,1,1,"[""f3cd3b25-909e-477e-bf1e-038bf98fc186""]","[""新北市私立喜星園幼兒園""]",新北市私立喜星園幼兒園,matched_exact_title,exact_title:1;entity_candidates:1;name_core_candidates:1;sibling_registry_ids:1,[]
