id,title,parent,entity,type,town,owner,operator,count_approved,monthly,reg_date,is_active,size,size_in,size_out,indoor_area_per_child,shuttle,after_care,pre_public,penalty_count,total_fine,nonmonetary_sanction_count
00636d3d-0a8e-411c-bef6-eaeb6d4b8153,財團法人新北市私立竹林高級中學附設新北市私立竹林幼兒園,財團法人新北市私立竹林高級中學附設新北市私立竹林幼兒園,財團法人新北市私立竹林高級中學附設新北市私立竹林幼兒園,私立,中和區,,,224,13617,2000/05/16,1,911.53,911.53,,4.07,0,0,無,1,60000,0
00957c83-0061-4581-a587-97629968f371,新北市私立文德幼兒園,新北市私立文德幼兒園,新北市私立文德幼兒園,私立,蘆洲區,陳美莉,,37,3000,2004/12/13,1,133.62,133.62,,3.61,0,1,115-115,0,0,0
00ac631e-b98e-428f-9d79-d10a4ed4ed9a,新北市私立嘉府幼兒園,新北市私立嘉府幼兒園,新北市私立嘉府幼兒園,私立,土城區,莊百杰,,130,17173,2002/07/31,1,596.15,596.15,,4.59,0,1,無,12,1154000,0
00d30196-28bb-4e56-939e-29e2936fb7b9,新北市私立小綠芽幼兒園,新北市私立小綠芽幼兒園,新北市私立小綠芽幼兒園,私立,新店區,林麗花,,29,12667,2011/09/13,1,101.6,101.6,,3.5,0,0,無,4,176000,0
01442eb5-9fc6-4547-bb2c-1b8fceadd759,新北市私立嘉傑幼兒園,新北市私立嘉傑幼兒園,新北市私立嘉傑幼兒園,私立,林口區,朱慧蘭,,270,26350,2023/05/05,1,1589.56,847.05,742.51,3.14,0,0,無,2,120000,0
015041c0-b0f2-4796-8059-9326dc635995,新北市新莊區豐年國民小學附設幼兒園,新北市新莊區豐年國民小學附設幼兒園,新北市新莊區豐年國民小學附設幼兒園,公立,新莊區,張照璧,,196,3728,1994/02/05,1,1765.0,1177.0,588.0,6.01,0,0,無,0,0,0
017b0a72-fa5e-45eb-b115-b846c664659d,新北市私立培揚幼兒園,新北市私立培揚幼兒園,新北市私立培揚幼兒園,私立,板橋區,賴建愷,,38,4500,1997/03/20,1,133.41,133.41,,3.51,0,0,113-115,1,6000,0
01c2d147-101d-49e1-8893-0f6e977ac804,新北市私立尼斯堡幼兒園,新北市私立尼斯堡幼兒園,新北市私立尼斯堡幼兒園,私立,新店區,劉明樂,,83,4500,2002/05/27,1,395.47,359.47,,4.33,0,0,113-115,0,0,0
01eb50e6-fdd8-446b-965b-c8743840996b,新北市樹林區育林國民小學附設幼兒園,新北市樹林區育林國民小學附設幼兒園,新北市樹林區育林國民小學附設幼兒園,公立,樹林區,張維中,,60,3728,2013/08/01,1,674.74,344.05,330.69,5.73,0,0,無,0,0,0
0206afa6-30a0-4c84-ab75-7517cd9c17c6,財團法人天主教瑪利亞方濟各傳教女修會附設新北市私立曉明幼兒園,財團法人天主教瑪利亞方濟各傳教女修會附設新北市私立曉明幼兒園,財團法人天主教瑪利亞方濟各傳教女修會附設新北市私立曉明幼兒園,私立,泰山區,,,133,13055,1974/08/10,1,1174.72,293.2,881.52,2.2,0,0,無,0,0,0
021f761f-1453-478b-acef-67ba962aefc4,新北市私立福樂幼兒園,新北市私立福樂幼兒園,新北市私立福樂幼兒園,私立,中和區,俞麗娜,,180,19487,2012/10/18,1,1189.02,845.15,343.87,4.7,0,0,無,1,60000,0
0236265a-afaa-4f10-a39b-57875f4e33d3,新北市私立強生幼兒園,新北市私立強生幼兒園,新北市私立強生幼兒園,私立,五股區,韓人恆,,38,4500,1999/07/12,1,,,,,0,0,113-115,1,6000,0
025bf32e-2472-4b0c-8788-35d6f2a8408d,新北市私立小天才幼兒園,新北市私立小天才幼兒園,新北市私立小天才幼兒園,私立,新店區,許源,,35,4500,1983/12/15,1,122.61,122.61,,3.5,0,0,113-115,2,21000,0
02a9b22e-24c1-4697-b811-4e71ca41e32c,新北市私立美樂蒂幼兒園,新北市私立美樂蒂幼兒園,新北市私立美樂蒂幼兒園,私立,蘆洲區,邱燕玲,,36,4125,2002/10/23,1,153.0,153.0,,4.25,0,0,113-115,3,126000,0
02d6d62d-c603-40fb-9216-e32b0dbc529b,新北市私立雙成幼兒園,新北市私立雙成幼兒園,新北市私立雙成幼兒園,私立,板橋區,黃龍德,,40,3750,1996/08/02,1,215.32,81.0,83.92,2.02,0,0,113-115,0,0,0
02f02585-4ed6-4760-8378-aa0d1dc24592,新北市私立嘉維幼兒園,新北市私立嘉維幼兒園,新北市私立嘉維幼兒園,私立,汐止區,秦鴻筠,,76,16083,2002/07/02,1,267.03,267.03,,3.51,0,0,無,0,0,0
03175d8f-1bef-4e67-9672-a81ef3d0efa4,新北市私立俏媽咪幼兒園,新北市私立俏媽咪幼兒園,新北市私立俏媽咪幼兒園,私立,新店區,蔡翠芳,,70,3000,2005/10/17,1,247.47,247.47,,3.54,0,0,115-115,1,60000,0
03270d23-e743-49e7-a553-5374c02f3c2a,新北市立崇林國民中學附設幼兒園,新北市立崇林國民中學附設幼兒園,新北市立崇林國民中學附設幼兒園,公立,林口區,徐巧玲,,90,3728,1999/08/02,1,1006.0,736.0,270.0,8.18,0,0,無,0,0,0
036a7238-a59b-4510-93c7-2faa94842fa3,新北市私立秀明幼兒園,新北市私立秀明幼兒園,新北市私立秀明幼兒園,私立,永和區,李韋德,,60,17943,1985/10/23,1,337.54,250.94,86.6,4.18,0,0,無,0,0,0
03708867-73a4-4ecf-b4bd-5fc56bb89533,新北市私立幸福幼兒園,新北市私立幸福幼兒園,新北市私立幸福幼兒園,私立,板橋區,陳楊淑惠,,65,3750,1974/01/01,1,229.09,144.81,84.28,2.23,0,0,113-115,2,9000,0
