report_file,report_key,code,short_name,academic_year,entity,report_operator,contract_period,registry_ids,registry_titles,registry_operators,registry_reg_dates,operator_matched_ids,operator_match,contract_covers_year,candidate_count,entity_count,report_capacity,registry_capacities,capacity_exact_match,capacity_gap_min,join_status,join_evidence
N01_安溪_110.json,N01_110,N01,安溪,110,新北市安溪非營利幼兒園,社團法人桃園市教保服務人員協會,108年8月1日至112年7月31日,"[""ecca529e-994f-430d-a4dd-571fbf742e40""]","[""新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理)""]","[""社團法人桃園市教保服務人員協會""]","[""2016/01/15""]","[""ecca529e-994f-430d-a4dd-571fbf742e40""]",True,True,1,1,90,[136],False,46,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:46
N01_安溪_111.json,N01_111,N01,安溪,111,新北市安溪非營利幼兒園,社團法人桃園市教保服務人員協會,108年8月1日至112年7月31日,"[""ecca529e-994f-430d-a4dd-571fbf742e40""]","[""新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理)""]","[""社團法人桃園市教保服務人員協會""]","[""2016/01/15""]","[""ecca529e-994f-430d-a4dd-571fbf742e40""]",True,True,1,1,136,[136],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N01_安溪_112.json,N01_112,N01,安溪,112,新北市安溪非營利幼兒園,社團法人桃園市教保服務人員協會,112年8月1日至116年7月31日,"[""ecca529e-994f-430d-a4dd-571fbf742e40""]","[""新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理)""]","[""社團法人桃園市教保服務人員協會""]","[""2016/01/15""]","[""ecca529e-994f-430d-a4dd-571fbf742e40""]",True,True,1,1,136,[136],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N01_安溪_113.json,N01_113,N01,安溪,113,新北市安溪非營利幼兒園,社團法人桃園市教保服務人員協會,112年8月1日至116年7月31日,"[""ecca529e-994f-430d-a4dd-571fbf742e40""]","[""新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理)""]","[""社團法人桃園市教保服務人員協會""]","[""2016/01/15""]","[""ecca529e-994f-430d-a4dd-571fbf742e40""]",True,True,1,1,120,[136],False,16,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:16
N02_山北_110.json,N02_110,N02,山北,110,新北市山北非營利幼兒園,財團法人三之三生命教育基金會,108年8月1日至112年7月31日,"[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]","[""新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2008/01/24""]","[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]",True,True,1,1,90,[90],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N02_山北_111.json,N02_111,N02,山北,111,新北市山北非營利幼兒園,財團法人三之三生命教育基金會,108年8月1日至112年7月31日,"[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]","[""新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2008/01/24""]","[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]",True,True,1,1,90,[90],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N02_山北_112.json,N02_112,N02,山北,112,新北市山北非營利幼兒園,財團法人三之三生命教育基金會,112年8月1日至116年7月31日,"[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]","[""新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2008/01/24""]","[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]",True,True,1,1,90,[90],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N02_山北_113.json,N02_113,N02,山北,113,新北市山北非營利幼兒園,財團法人三之三生命教育基金會,112年8月1日至116年7月31日,"[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]","[""新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2008/01/24""]","[""4799786c-53b9-4c85-8bd9-7aab89eed5b9""]",True,True,1,1,86,[90],False,4,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:4
N03_龍埔成長_110.json,N03_110,N03,龍埔成長,110,新北市龍埔成長非營利幼兒園,財團法人成長文教基金會,109年8月1日至113年7月31日,"[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]","[""新北市龍埔成長非營利幼兒園(委託財團法人成長文教基金會辦理)""]","[""財團法人成長文教基金會""]","[""2012/08/01""]","[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]",True,True,1,1,90,[90],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N03_龍埔成長_111.json,N03_111,N03,龍埔成長,111,新北市龍埔成長非營利幼兒園,財團法人成長文教基金會,109年8月1日至113年7月31日,"[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]","[""新北市龍埔成長非營利幼兒園(委託財團法人成長文教基金會辦理)""]","[""財團法人成長文教基金會""]","[""2012/08/01""]","[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]",True,True,1,1,90,[90],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
