report,sha256,bytes
N01_安溪_110,e9e5f0a54f0040732adaac24a1fa2801b7e834c68321c1fe90b1471272ad0b96,6970958
N02_山北_110,f9c146c3bd72918f0b02fb7db17affa28c9ba4b43e9be96107e65ed7f755c10f,6778508
N03_龍埔成長_110,befe2dfab60e9e1ef7bae21555f4c6984d3b09dabdeebeff1994a09f18ed71fd,6706373
N04_海工_110,b1b4a99167677c0b0e92c4d1dc31dc128c13a138e775e0e56018c07e9f7e157c,7224072
N05_漢翔_110,8585e2ca9f97d8d5119a1d4bc9547f0dbf95ad800e7a2ab070a20488ff78dd8d,8029577
N06_昌平_110,358c3c9802eeb93d5bc2805fcbc6c341ccdaf3fe9f2da96957fd3d1a9689a52b,7378082
N07_北大_110,ff0f340aea30ab1b9413c174f4cd2babb497b18ab38b03c40ac034d8577fe846,8039754
N08_鷺江_110,42028ebf8237417c3fdfaefbc64ed7a71a83f1a7ca0b776eef6624d5f0ce1bd0,7663694
N09_安興_110,85bc549b278c467d0b82a3315e30f3da5bd640e466432da8d4772b3a7194ba5e,7426314
N10_大觀_110,f74e8f19bbf8a91aa78c3b6f817d0018acc640ab26284729a719c4d411e02774,7917026
N11_新林_110,e51c717a941917184ee3053d5b41b549b22633267700cb14d2dcb53e846db39d,7832259
N12_昌福_110,7a210ebc3e79e6b54d08b7aa9736715b4d28f929c2146aa2f71a4e2f259e4416,7307582
N13_三多_110,182846bd89a94eee679f8d71914850a545f0cb11388eb311a6d4a4ab790ada49,8153609
N14_積穗_110,f7bccaaa4670f9dee33d19a4a7ca35b4ba868f1222b7c6b86edf4d4bc6eba74f,8062335
N15_新月_110,157ae60124e66b4ed9fadabf9237dc2e3e0ea3192cec045c3cfb0d220327089b,8215268
N16_中平_110,38f5286be21414fb64ff7395bb31eebc7fc50639d26cc62c050d3536ad6f5c54,8269728
N17_中正_110,c46c37ba71854ccb5765b66eaaad0d3957ef9a4ea391cfd1261b45ccfbadc7fa,7606351
N18_福營_110,7d53f5740da850019a2557332d267375c3bdc95b7446e9738b6bae0f12e0864c,7871370
N19_中園_110,b1b7cd57df5fc7e9c5c35199519c135e74ca05310a83b0a8a909888ed2c89ac0,7260505
N20_柏翠_110,619f0facbf5093c4c07b7b3091b1001c42b2b83783b756e35520037d4d96bf8b,7762134
N21_文創_110,f4ddef4b366afe665a77260f171e5ca23720241345a4540a50524e61dac70442,7256482
N22_文仁_110,e486570d7380a020cafbdec8b526de82f7d098df6d0e21e5252621b5dbaaa23b,7002086
N23_菁湖_110,30a8a57c2b577c3910fc6d54a81ad83497ac11ab07f8b304117576cd0b1c602c,7830917
N24_佳林_110,10c2835e2daa38915564e856666b50928be7460b57d78ebde903fa54ab7105ef,6708327
N25_碧城_110,f1198cfc17b798d4821a0d545f994ba5102a184ec6e3627d057c088130dbc0e0,6782988
N26_新店及人_110,6ee1f09cf403c8bfc23376b483849bcf8442b04dfd231f6e42bdcf1a59d73468,6820675
N27_育平_110,442cdd0f4bc2a794c58b7e78433df742bb7aa6d4a06b6c6d0cfb8f653ca2654e,6031156
N28_新樂_110,b229eafa5fa3251376f0121de58a80fe23b91c4e198048c69150692e75a792cc,6516979
N01_安溪_111,bc9785ed3fe58317e0c2748840a47127953c213c05d5c32149e5235f0314bcf3,8085121
N02_山北_111,11e466aec9959412f2d32b898d49e474a139165b32cebfd6dad0248247b3daa6,7793694
N03_龍埔成長_111,dde9f5085df22e48bbd79aa7dd559b26259e7134b985d70a668223e3f13de29b,7797608
N04_海工_111,595e259502b33b80e5387ede044dea0caf176340a448ae1e7d4012b767086f9b,7765751
N05_漢翔_111,e83452e15ac9605492862ef9bd84e39798cf92b68d17ce4c5e8ddc3d9cb3a3b4,8640335
N06_昌平_111,64e411b64fd8a7dd759e4ad22e12dde02272733f5dd4bab4aff00986a1afd64d,8367553
N07_北大_111,6a6d153b09cc48c9ef53272b5d6f2916272f0d71a0d3620723828287350599df,9172076
N08_鷺江_111,f3cf0f4043c57af43ce79fd486d29f69ae86829bc81645da8ec2ba667baf709a,8348666
N09_安興_111,e4951bc8af333579414de973a67c1f135f8bcdc55621d364eb81466f6a8fa0f0,8125365
N10_大觀_111,05ee62d4c3c8dab8926939c100c823205ae50cd36c31a85e32c4304139b3205a,8331759
N11_新林_111,eb443d37350de718789783183c58e58040b7c0ef5e559c34ba8ea1686f413409,8416643
N12_昌福_111,c76c559bd019313abd344769f27dd5007d575488afb67eab64b948f5defe6112,7601058
N13_三多_111,4a12e1033043d328e1d2c70a62348663ccbd8b52179a591e42d624a1e3bd5173,8762949
N14_積穗_111,79b8379a50ef313ddffd17cf78a44d1e1e6c0d0985aee9041e1a356e92b4190a,8575981
N15_新月_111,f2d5029fce2911de7babb567ac4f98e90f6bb3157f2b6eb0ca13c1ace26fe12b,8554343
N16_中平_111,4f13957f2033d7ab2960733f885c8a35f3321bb8289d3a2d7873f9e7adee1fc4,8693146
N17_中正_111,ab9004efe9e299ee7c02a1a2565e95a85974ce855c891cc339be338276453ce5,8021089
N18_福營_111,b81e77d16e8d3c86ddaf187ce24918a389f00b46d6d4877bd480672256838a89,8610798
N19_中園_111,9a5635c2bc25e53bf2ea815c5465f128948d5b26470480a7d8eb73cd8acb838e,7869034
N20_柏翠_111,27fd15b4f08908b6e3c1d6a473bf91cd82730c8e06b6be42bfa9aa74d202953b,8424794
N21_文創_111,00595b166e0414178cd4a82b5b670737d4ed6ece4790fbd9bb99ef0def1d5eed,7836470
N22_文仁_111,494413b98b611e875db3e93844d72d796ae126e3d606d09240e5b46689986e12,7414267
N23_菁湖_111,d17f5ecbd3cc88436f9c45651d033316a022417a665af2237d1d20ba301e7351,8813098
N24_佳林_111,21384a64d51b4d4e376743127522d1025bd316d37ef93d3dd5404a0ec1c65c48,7895406
N25_碧城_111,3f359617fd8ce1c68545ce4f4437c1b7db805896a643695ed164650fe960b71e,8095723
N26_新店及人_111,ffa6a9048c3fb0432406389fc87a0c22029f46f4bbf7ed0c3f890ff5249f3131,7462237
N27_育平_111,fe442ca9401b08d6f20d02935000a05e35cc689a3b8f0793d5cc4a87bffe891f,7569788
N28_新樂_111,a7105389a54067f735a73dd0e08163abcab05e9ea418993522440004c4222092,7920782
N29_東湖_111,0515433cab3ca5250140b60580f6e35f2ff592e0a68b4eaab24a0c0c9d087e6f,7452001
N30_文中_111,58642a6cc4f37e4766be4192ff960936f1354d9fc7680c436ef861601b354452,6409085
N31_翠中_111,ef0d7f2deed07c64e105645ca49487a8baf14dd7270e5e03b3cede7ef88027e2,6489619
N32_板橋員工子女_111,c214cb3b3709420b6b446fe96c38b00d1d83997d165f2b272178711742772764,6592313
N01_安溪_112,d3f6bafcd9e27f70d1bd20e5a191290f6beae1848d711217a75a2c97121c3132,7799402
N02_山北_112,a09f1b86aa754025e78486b3d2111739dc30bb76bef2bd0b92d99623bbbbbc0e,7184827
N03_龍埔成長_112,fb046c4d98a1d0b0ba0536b8ca02a6661a4a53fa719ae4349a26b6c0b16f3eee,7367740
N04_海工_112,2f3c85f7acd0d5c0e4606933d8c35c56087ec08a4a95e2933700c021a8a463da,7642959
N05_漢翔_112,5f92d01c5b4e98bb78775c1cc18309431c76defb8e963e7ecbbe732a7f3533e7,7711409
N06_昌平_112,3169496b09533302a546e917adf6a3b91c32166e4e22d2e7b9e7c7a6b251f37e,8041959
N07_北大_112,2632418d36c2cee7c19fab1a9349f46b65d2b79a1ff7670fa1b06795641e6d6e,9481309
N08_鷺江_112,16026bc94e988a96332b7c80e9f04a24c013bf030314f17efb417cd49f4acb2b,7514669
N09_安興_112,2f4c10dbd5abbbb8c61b90cf26614c0419cfbfe5906aef325528b78f1c631b29,8282100
N10_大觀_112,a1d650615d587d0294b3841c86359faf7637908a61ead897090dcdb12878cc3e,8611500
N11_新林_112,7f1773d1352531eec50ccc428a76327fefaa4510613c492254d90bf401cb29fb,8346909
N12_昌福_112,0e60977b41b49b57536109078adb85301ccf4bdb4f5bd66bdfe13582a29f9b58,7822376
N13_三多_112,e6cdaa2b59a65c8f8bd7aaf27952f68c81471bac7b3e08f6efcb539c5faa4124,8218924
N14_積穗_112,def3a3b482f87c28ef8ab2bd52b0dcbc62814d0160880cbed2e95dac8cb167b8,8146797
N15_新月_112,dce270a280a6bb2e2b81d0553797bd8a22c6cd6fe28b6f34542715f61400d486,9262939
N16_中平_112,9e1c028109334d0d60f744018a63e34abe0f32fa9de36689eef68b7b17cb4b5f,8325467
N17_中正_112,5fc79682a648b6f67acfe44cb88581338a128b58e736fa1d6498739481f4e795,7721682
N18_福營_112,08c1fa324db8291531a1c55882f1dd33048b672c8d4d27aef6bfa4e8c9efae38,8121065
N19_中園_112,dc0b412f177309f6215d4bb0464db532bf72289c52b61d8d15ff8c8629b52f0b,7318887
N20_柏翠_112,884bbeb2ef25c036eb3a28eb1d849c185e918f812d8c81725f2c8fa72431e375,8662077
N21_文創_112,a959c173d8eb54a0c58b1690e6a6cef725bb80d4467a92d1a6f1c20fe26153e5,7023589
N22_文仁_112,078867e2bb24fcd74faa866dae1c055450c3831d3b7914d0a7a775481a98ca74,7116782
N23_菁湖_112,3ed2085e6287af97401363359218bc487ecedf7bd23ba16de16150e4a9383d61,8150930
N24_佳林_112,df2e6361093a2eaaa83997c5952cadfaa7d6048d82be998308de5465e5728b83,8051240
N25_碧城_112,8a1a06acee5718b7cefff7641e5a2237313d40372bcb0841982b6aac8131c268,8156217
N26_新店及人_112,24db823924ec57b4d0a7e75332db01554050ac922a73fe883faa77b413388836,7574317
N27_育平_112,871c9fddfb2292db8d9fa2c2374da21d65e7e07758e7b636d28c41d9bd066d4c,7314909
N28_新樂_112,296dd0e8a2c8ec8796a156785f573024aa3ad56cd95c786452d42bdd067982b9,9266585
N29_東湖_112,26491f4c5749ca90fe2a367c47ac8670632b2f8bb9289cfd33545220f9167767,8074289
N30_文中_112,c0519d5f947442ba6c404d1aff6727bac895cb8ac68d78fcf5850e886d8dcc81,9818148
N31_翠中_112,3a3eba758acbe9e91294b977bd54f86c54570d748538c4080bd246ee23f784cb,8166453
N32_板橋員工子女_112,81bbb6d02a577a98064b4455c16778ecbc5b8a810948e799f124cce0325405ab,7344307
N33_淡海_112,bf92af2c5a0202d56b751276892bbb893be971e663c807331fbc844c9956a60b,6888487
N34_佳和_112,aa4f5ebf30a6f9689d093385f308273093fe69284012cb40b1bb3be64ec9b222,8774029
N01_安溪_113,f71d2bf11ea26b892e32e68094e85d30f50432a7c7cbd543d065e33468eb142f,15907390
N02_山北_113,ba047e8f86917ae27992732d42cdb7288fda81c6d936299889235e9ed4765eac,13190896
N03_龍埔成長_113,e0933969d873b17ee0f39f1e7090b1ac0161385d2d0dc2893bc1e54c27c7f5dd,13575481
N04_海工_113,86698a74c767f4831b2d9af648d8b0795b48f57dced304c361d7be583d356576,13242918
N05_漢翔_113,e1975f824b981cd3b0d9dfc69c311dfc0476fda3738bf14279ecfe8c6cd6b07e,16022796
N06_昌平_113,e78a0f0ea852ea748190de96f4560aaa171a9a10436834327f8893a2bacefa34,15370261
N07_北大_113,d47302fb4c7d826c3ad42b53620efe6a77c3184b3369aad71be0a0b4a6c84e5e,18422441
N08_鷺江_113,be0d9ac6541d401a6987c2de3d585d616731431c4e39677047cdde3af9fe75ee,15917131
N09_安興_113,f4e4ee795091722b27ec061f16b6e6ea63248f0cf4e9bc135418ee01abd0f021,15800452
N10_大觀_113,f86a199786e60da1a9177697c9670c89323e60ac9c6a28bd045ebf8eb7133a7e,16814010
N11_新林_113,840ce32f4f5b35f29a239b198217c50729639786840318c352e3436e36076dbe,15206225
N12_昌福_113,6b08003c49f470ee580ec22080d5ac973f00fae14c8d8d75fcb69f81715c76e9,14212883
N13_三多_113,de6de20ac3fc4f43a6f32ec7396307f553558a5f47456ba089f122985e944011,15549427
N14_積穗_113,81a5a4f96f426c2578a0421bb622c603c42539d389ce2b581b9d8a5f93f391d5,17874189
N15_新月_113,e45cde58b7b327bd71d82baca4a5c0db561a2b8aab2249b3575cdadaab9f7dc5,19745197
N16_中平_113,b172e0144b48fcd71aa1afa06af200334120739585b77e3bf7882f7b7adfa032,16656478
N17_中正_113,fa02e6eae77a9651013f5ba6a6ca50e4d252c3e787a5efce3ee107689ec3daca,14912401
N18_福營_113,7e391eabcbe5376d0ac2d8af4112fee964f010043f4735c91dd4fa61e895cf85,15775371
N19_中園_113,2d62e600e5215c9d57e5e52787aed687ec4d0a4959f456e4df030b42465fd404,13991585
N20_柏翠_113,90dc4acf7c1bfed314e444e370a3e8ed3714f7df97990a167650ee039b16ae6f,16107720
N21_文創_113,f944d6f94c1d589b53917ce0e641081088fade26b1d0d19b2a0487f54caf39e1,14207056
N22_文仁_113,39942060fdcddc4b51485c7a9b286bb6f2d7172ae3657f66f3ac76a9525dced1,13782287
N23_菁湖_113,d97395ad588058bc8db7175a7baaacc4612581c7d87d43b7a8fc5eb04a7db009,15770931
N24_佳林_113,fb63227e3d07e8204fe46a0593a21170cc70727b34e0abe4b4eabf645d6a6aeb,15564367
N25_碧城_113,c4b421ec21f53b9ef25d66e309bf3c1939d14cc3b5d29034b65cf58cdb7b0c80,15712223
N26_新店及人_113,30c94b09ec4fb186d50e477f14433ba052e842d3afb94900ff7c5eafd2d3b39d,13952863
N27_育平_113,c0b7906a97f56c2d0d88fcfbd971af7f89d54eacd60c821da30f70aacb45de1c,13971006
N28_新樂_113,e4498897793cc019468cd6ec9140e82f819c7193b4c9aaa9f6212e34cb0270cf,17768917
N29_東湖_113,db6b8df5cc3185f9041ae609072d35e281edae3bf712e16f8525bf2202ad739a,14917400
N30_文中_113,c2ef1e65ebba1bd7dffb36f06d2a31b8204f5cc25093560e1fbd5e0f6e7f60d1,19981568
N31_翠中_113,f46679dc65f97295f14b3c4fd149fb86f26a3e61b470155cfba1809bbd83116c,15138090
N32_板橋員工子女_113,6e8f54496ae6da45f9f2af8324a44fe8a149cb09d082bd79592aacac1fdb256c,12702607
N33_淡海_113,6a4410598ae1f835f85d83d6725e5e500218ca5a04670b5c315dfe3d95680966,12910374
N34_佳和_113,a0143a17977c48dbf4f61f64c1317d380bd2aef8731307aa856e9e266c3cc1cd,18121693
N35_桃子腳_113,1a5daadb73ca2f0a5e9666ee521ba815b245dadbf313e3b1a11c5c6f33e4e68f,16492133
N36_明德_113,e1e9331db478e02b5dd1cf1bf3a55e631c052f054960d4867eba9b77e3da3433,14369972
N37_清水高中_113,d656df1439b70f70a0548b57e4936b986217d4f5043c63a674ceac2ae0f83d74,12809886
N38_崁頂_113,95edd2cf5b8bae6e637a6e4d0e602489b6556c6958aac2e14bcd18011589a220,11821517
