path,category,period,filename,size_mb,pages,text_pages,image_pages,chars,text_ratio,needs_ocr
公校/112年度決算書/第1冊/112年決算書第一冊.pdf,公校,112年度決算書,112年決算書第一冊.pdf,27.96,752,651,19,621469,0.866,False
公校/112年度決算書/第1冊/附件2-1.封面(第一冊).pdf,公校,112年度決算書,附件2-1.封面(第一冊).pdf,0.04,1,1,0,109,1.0,False
公校/112年度決算書/第2冊/112年決算書第二冊.pdf,公校,112年度決算書,112年決算書第二冊.pdf,37.71,772,651,38,549283,0.843,False
公校/112年度決算書/第2冊/附件2-1.封面(第二冊).pdf,公校,112年度決算書,附件2-1.封面(第二冊).pdf,0.04,1,1,0,109,1.0,False
公校/112年度決算書/第3冊/112年決算書第三冊.pdf,公校,112年度決算書,112年決算書第三冊.pdf,35.5,758,632,41,515060,0.834,False
公校/112年度決算書/第3冊/附件2-1.封面(第三冊).pdf,公校,112年度決算書,附件2-1.封面(第三冊).pdf,0.04,1,1,0,109,1.0,False
公校/112年度決算書/第4冊/112年決算書第四冊.pdf,公校,112年度決算書,112年決算書第四冊.pdf,31.02,758,649,29,534461,0.856,False
公校/112年度決算書/第4冊/附件2-1.封面(第四冊).pdf,公校,112年度決算書,附件2-1.封面(第四冊).pdf,0.04,1,1,0,109,1.0,False
公校/112年度決算書/第5冊/112年決算書第五冊.pdf,公校,112年度決算書,112年決算書第五冊.pdf,30.39,724,617,25,457483,0.852,False
公校/112年度決算書/第5冊/附件2-1.封面(第五冊).pdf,公校,112年度決算書,附件2-1.封面(第五冊).pdf,0.04,1,1,0,109,1.0,False
公校/113年度決算書/第1冊/113年決算書第一冊.pdf,公校,113年度決算書,113年決算書第一冊.pdf,31.36,752,645,26,624082,0.858,False
公校/113年度決算書/第1冊/附件2-1.封面(第一冊).pdf,公校,113年度決算書,附件2-1.封面(第一冊).pdf,0.05,1,1,0,109,1.0,False
公校/113年度決算書/第2冊/113年決算書第二冊.pdf,公校,113年度決算書,113年決算書第二冊.pdf,37.94,776,661,29,573015,0.852,False
公校/113年度決算書/第2冊/附件2-1.封面(第二冊).pdf,公校,113年度決算書,附件2-1.封面(第二冊).pdf,0.05,1,1,0,109,1.0,False
公校/113年度決算書/第3冊/113年決算書第三冊.pdf,公校,113年度決算書,113年決算書第三冊.pdf,44.09,756,608,26,517806,0.804,False
公校/113年度決算書/第3冊/附件2-1.封面(第三冊).pdf,公校,113年度決算書,附件2-1.封面(第三冊).pdf,0.05,1,1,0,109,1.0,False
