fiscal_year,fund_code,name,fund_source_budget,fund_source_actual,fund_source_prior,gov_transfer_actual,tuition_budget,tuition_actual,fund_use_budget,fund_use_actual,preschool_plan_actual,capex_budget,capex_actual,surplus_actual,closing_balance_actual,closing_balance_prior,staff_budget,staff_actual,kitchen_staff_actual,gov_dependency,tuition_execution,capex_execution,cost_per_staff,balance_change,notes
112,13601,新北市立板橋幼兒園,28299000.0,29359365.0,28321611.0,25374023.0,4930000.0,3982100.0,29799000.0,30543972.0,30467972.0,80000.0,76000.0,-1184607.0,2927106.0,4111713.0,34.0,34.0,4.0,0.8643,0.8077,0.95,896116.8235,-1184607.0,
112,13602,新北市立三重幼兒園,23887000.0,24220462.0,25213639.0,21276467.0,2954000.0,2936850.0,23887000.0,24527273.0,24205381.0,50000.0,321892.0,-306811.0,1804261.0,2111072.0,25.0,25.0,4.0,0.8785,0.9942,6.4378,968215.24,-306811.0,
112,13603,新北市立中和幼兒園,34773000.0,35693126.0,37241526.0,31436281.0,5319000.0,4255200.0,34773000.0,35690856.0,35581551.0,180000.0,109305.0,2270.0,5452963.0,5450693.0,34.0,34.0,3.0,0.8807,0.8,0.6072,1046516.2059,2270.0,
112,13604,新北市立永和幼兒園,61381000.0,60760685.0,57772341.0,51859627.0,9796000.0,8897217.0,61381000.0,59794372.0,59494372.0,300000.0,300000.0,966313.0,7351262.0,6384949.0,68.0,68.0,10.0,0.8535,0.9083,1.0,874917.2353,966313.0,
112,13605,新北市立新莊幼兒園,29352000.0,29855693.0,31057508.0,25110825.0,4787000.0,4541600.0,29352000.0,29632880.0,29536880.0,96000.0,96000.0,222813.0,3348874.0,3126061.0,33.0,33.0,5.0,0.8411,0.9487,1.0,895056.9697,222813.0,
112,13606,新北市立新店幼兒園,27097000.0,30971333.0,28611424.0,26526958.0,4898000.0,4444303.0,27397000.0,31287430.0,30579570.0,100000.0,707860.0,-316097.0,7770090.0,8086187.0,30.0,30.0,3.0,0.8565,0.9074,7.0786,1019319.0,-316097.0,
112,13607,新北市立樹林幼兒園,23070000.0,24738982.0,24637831.0,22078861.0,3429000.0,2657800.0,23070000.0,24837393.0,24671400.0,170000.0,165993.0,-98411.0,5686940.0,5785351.0,23.0,23.0,3.0,0.8925,0.7751,0.9764,1072669.5652,-98411.0,
112,13608,新北市立鶯歌幼兒園,24116000.0,25157510.0,24266208.0,22369803.0,3982000.0,2787000.0,24116000.0,25113871.0,25013871.0,100000.0,100000.0,43639.0,798520.0,754881.0,26.0,26.0,2.0,0.8892,0.6999,1.0,962071.9615,43639.0,
112,13609,新北市立三峽幼兒園,18181000.0,20761887.0,19592386.0,18709524.0,2860000.0,2050669.0,18181000.0,20447020.0,20345095.0,110000.0,101925.0,314867.0,1439649.0,1124782.0,21.0,17.0,0.0,0.9011,0.717,0.9266,1196770.2941,314867.0,
112,13610,新北市立淡水幼兒園,24312000.0,21023774.0,22107881.0,18207247.0,2967000.0,2806020.0,24562000.0,20545744.0,20399144.0,150000.0,146600.0,478030.0,1894084.0,1416054.0,29.0,29.0,5.0,0.866,0.9457,0.9773,703418.7586,478030.0,
112,13611,新北市立瑞芳幼兒園,11064000.0,4347643.0,11567137.0,3863529.0,1201000.0,481900.0,11114000.0,7343377.0,7314009.0,100000.0,29368.0,-2995734.0,,2995734.0,9.0,6.0,0.0,0.8886,0.4012,0.2937,1219001.5,,
112,13612,新北市立土城幼兒園,25853000.0,29597399.0,26527005.0,24941516.0,4977000.0,4645950.0,26453000.0,29642445.0,29592153.0,300000.0,50292.0,-45046.0,2977923.0,3022969.0,31.0,31.0,4.0,0.8427,0.9335,0.1676,954585.5806,-45046.0,
112,13613,新北市立蘆洲幼兒園,13581000.0,13505881.0,14213787.0,11327740.0,2259000.0,2172500.0,13581000.0,14277508.0,14227508.0,50000.0,50000.0,-771627.0,348108.0,1119735.0,16.0,16.0,2.0,0.8387,0.9617,1.0,889219.25,-771627.0,
112,13614,新北市立五股幼兒園,38031000.0,43365351.0,40615629.0,36315200.0,7758000.0,7045100.0,38631000.0,45176519.0,45076519.0,100000.0,100000.0,-1811168.0,1730951.0,3542119.0,45.0,45.0,7.0,0.8374,0.9081,1.0,1001700.4222,-1811168.0,
112,13615,新北市立泰山幼兒園,19794000.0,24874852.0,21394091.0,21433588.0,3501000.0,2885900.0,19944000.0,23954199.0,23790584.0,200000.0,163615.0,920653.0,5376433.0,4455780.0,19.0,22.0,2.0,0.8617,0.8243,0.8181,1081390.1818,920653.0,
112,13616,新北市立林口幼兒園,19442000.0,21076861.0,18783594.0,18096161.0,3160000.0,2978300.0,19742000.0,20522228.0,20422228.0,100000.0,100000.0,554633.0,3287133.0,2732500.0,22.0,31.0,4.0,0.8586,0.9425,1.0,658781.5484,554633.0,
112,13617,新北市立深坑幼兒園,12153000.0,13681266.0,12512467.0,12496605.0,1490000.0,1180611.0,12153000.0,13257059.0,13197059.0,60000.0,60000.0,424207.0,856655.0,432448.0,11.0,11.0,,0.9134,0.7924,1.0,1199732.6364,424207.0,
112,13620,新北市立三芝幼兒園,14428000.0,15933816.0,15568366.0,14580506.0,1570000.0,1346400.0,14528000.0,16080278.0,15987248.0,100000.0,93030.0,-146462.0,1064755.0,1211217.0,15.0,15.0,2.0,0.9151,0.8576,0.9303,1065816.5333,-146462.0,
112,13622,新北市立八里幼兒園,15441000.0,16824043.0,17107981.0,14937057.0,1960000.0,1879776.0,15741000.0,17164360.0,16845799.0,350000.0,318561.0,-340317.0,1824520.0,2164837.0,15.0,15.0,2.0,0.8878,0.9591,0.9102,1123053.2667,-340317.0,
112,13626,新北市立金山幼兒園,11952000.0,12871186.0,13004201.0,11872775.0,988000.0,995400.0,11952000.0,13364930.0,13314950.0,50000.0,49980.0,-493744.0,1067825.0,1561569.0,12.0,12.0,,0.9224,1.0075,0.9996,1109579.1667,-493744.0,
112,13627,新北市立萬里幼兒園,12055000.0,11818383.0,12280964.0,11295455.0,1343000.0,522625.0,12055000.0,11889333.0,11839333.0,50000.0,50000.0,-70950.0,534376.0,605326.0,13.0,13.0,2.0,0.9558,0.3891,1.0,910717.9231,-70950.0,
112,13628,新北市立烏來幼兒園,8016000.0,8495375.0,9272745.0,7846468.0,634000.0,648400.0,8016000.0,8665943.0,8616168.0,50000.0,49775.0,-170568.0,1191846.0,1362414.0,9.0,9.0,1.0,0.9236,1.0227,0.9955,957352.0,-170568.0,
113,13601,新北市立板橋幼兒園,29493000.0,33417982.0,29359365.0,29251497.0,4930000.0,4161500.0,29493000.0,32087165.0,32010165.0,80000.0,77000.0,1330817.0,4257923.0,2927106.0,34.0,34.0,4.0,0.8753,0.8441,0.9625,941475.4412,1330817.0,
113,13602,新北市立三重幼兒園,25100000.0,25687267.0,24220462.0,22891316.0,3160000.0,2795575.0,25100000.0,25156762.0,25115168.0,50000.0,41594.0,530505.0,2334766.0,1804261.0,25.0,25.0,4.0,0.8912,0.8847,0.8319,1004606.72,530505.0,
113,13603,新北市立中和幼兒園,34365000.0,34716076.0,35693126.0,30993929.0,5045000.0,3720350.0,34365000.0,36298819.0,36118819.0,180000.0,180000.0,-1582743.0,3870220.0,5452963.0,34.0,34.0,2.0,0.8928,0.7374,1.0,1062318.2059,-1582743.0,
113,13604,新北市立永和幼兒園,61016000.0,55439087.0,60760685.0,48388070.0,9322000.0,7045729.0,61716000.0,58322097.0,58022097.0,300000.0,300000.0,-2883010.0,4468252.0,7351262.0,71.0,71.0,10.0,0.8728,0.7558,1.0,817212.6338,-2883010.0,
113,13605,新北市立新莊幼兒園,30155000.0,29608380.0,29855693.0,25673653.0,4661000.0,3933500.0,30155000.0,29211354.0,29066275.0,156000.0,145079.0,397026.0,3745900.0,3348874.0,34.0,30.0,4.0,0.8671,0.8439,0.93,968875.8333,397026.0,
113,13606,新北市立新店幼兒園,28628000.0,31941741.0,30971333.0,27571216.0,4740000.0,4368700.0,28828000.0,34055112.0,32843241.0,170000.0,1211871.0,-2113371.0,5656719.0,7770090.0,31.0,31.0,3.0,0.8632,0.9217,7.1287,1059459.3871,-2113371.0,
113,13607,新北市立樹林幼兒園,23605000.0,25906522.0,24738982.0,23544319.0,3429000.0,2359700.0,23605000.0,25897868.0,25729330.0,170000.0,168538.0,8654.0,5695594.0,5686940.0,24.0,24.0,4.0,0.9088,0.6882,0.9914,1072055.4167,8654.0,
113,13608,新北市立鶯歌幼兒園,25714000.0,25385461.0,25157510.0,23127810.0,4282000.0,2257100.0,25714000.0,24717830.0,24617830.0,100000.0,100000.0,667631.0,1466151.0,798520.0,26.0,24.0,3.0,0.9111,0.5271,1.0,1025742.9167,667631.0,
113,13609,新北市立三峽幼兒園,,,,,,,,,,,,,,,,,,,,,,,找不到基金來源、用途及餘絀表; 找不到員工人數彙計表
113,13610,新北市立淡水幼兒園,23880000.0,27450698.0,21023774.0,23961734.0,4076000.0,3481160.0,23880000.0,27599204.0,27549204.0,50000.0,50000.0,-148506.0,1745578.0,1894084.0,30.0,30.0,5.0,0.8729,0.8541,1.0,918306.8,-148506.0,
113,13612,新北市立土城幼兒園,27068000.0,31356465.0,29597399.0,27153114.0,4830000.0,4200275.0,27668000.0,31521327.0,31296978.0,300000.0,224349.0,-164862.0,2813061.0,2977923.0,31.0,31.0,4.0,0.8659,0.8696,0.7478,1009579.9355,-164862.0,
