snapshot_id,query,published,publisher,headline,link,article_kind,institution_id,institution_title,matched_name,attribution_basis,town_corroborated,anonymised,status
2026-09-03-news-v1,不當對待,2026-04-14,UDN,拍打、利剪…新北私立幼兒園涉不當對待幼童 裁罰2人 - UDN,https://news.google.com/rss/articles/CBMiUEFVX3lxTE96MjNPNXFQXy1xa3lrcXlQcmN5cHptSHRxWkFLUUprV1MyTU5lSFZjVnF2U3NIUmQ2bmxlM0s0NlR0UjJJSEU2UUF6Q1JRTjJC0gFWQVVfeXFMT19SOUR1dFBld1Q3bXhObW1taUJLcVo4VDNfVFBESkl2RUZjekdCNUpvSlZRZy0zbFNxd0RzS0s4MWoyVDZKSlltNTB1eWQ5bnNlYjVHSkE?oc=5,incident,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-04-10,facebook.com,【新北幼兒園涉虐童「檢方聲押禁見」 法院裁定園長5萬元交保】 （#大表哥） - facebook.com,https://news.google.com/rss/articles/CBMirwNBVV95cUxPZ21VREFXeGVPMkFmUzkyd2ctUWUwTktVTE1PZXE5MC1ETTRfV2V4ZG9VbmxWQnJrMW5CN1pHdlo2bUlraG84Y3BMR0p4V1VWdUQ4enAwRnVtaG84WU5RUHUwRGY0bFVwTzVoSFhEWnBkQkVncnFuTWp3X3BvZUphMzR3NWloOHJLV3d3bWU1dk1ySVdaVFRncEZubzFLUFpKTmJOWHNJOXdXRldsNjBaS3RONEo1T1ZCLXFpNlM0cmpRQ1hlTHlEcEpOeEdObGxvU1Z6LXU2empWY0M5NTBFYUt1TmR6alZoOW44RGxROWhBd3B6d3huclRvXzA0RkZRWUNEY1FPUjloeVhMVzdIeGhzREVfUEFlNWlJZG9kNGJzWVBMSWZndnB3NlZFSmVmLVdUa3hTeXVob0lSRHM2dDd3NlpoREstdktueXNCbnNhOC1NTnNtWW1YSklNb0ZPUHk5TEJQNllib0wzM0pMUEVOM0dZdTI0ckdMaFJxdEIzVlY1RHlHclJGVEtxdjRnRF8yV1dhYnY1bUNhZk1rMTNqRHJQSzl1Z0Exdzh1RQ?oc=5,incident,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-04-14,mababy.com,新北幼兒園虐童，多為語言較弱兒！2歲男童遭拍打、利剪驚嚇，孩子拒學、 夜驚多注意 - mababy.com,https://news.google.com/rss/articles/CBMiXEFVX3lxTE02Q3c3bHBBVEdhTXFmd0lvU1ptRmxEZ3c5QmREeG90OTFBTlVlckpmZTdoUmxoTGx0MnBHQkVJWGJUczhGSlVnZHdtRXdyUG0xYkpWSkJ3V3FtZUY2?oc=5,incident,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-04-19,台視全球資訊網,爆虐童遭開罰！ 新莊吉尼爾幼兒園最重恐停辦 - 台視全球資訊網,https://news.google.com/rss/articles/CBMifEFVX3lxTE9aYzJiTTlVZ2g5MWlwUmRDUmU0eXd5b1NtaEFSQWhzMHVlVmtNdnRzblJBNy1EODh1YjB3M01WTGhuTkJZQkNydXhTYTNUbEM1eXJRY0F0R3p0Q29lLTRvS3J4eUZreFJ3a0xrcVhBRkNBek5OMFJGV1hqdS0?oc=5,incident,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,吉尼爾,標題以機構名稱形式出現可辨識名稱,1,0,待人工研判
2026-09-03-news-v1,不當對待,2026-01-21,news.pts.org.tw,新北鶯歌私幼逼童脫衣擦地 教育局：2涉案人員已離職 - news.pts.org.tw,https://news.google.com/rss/articles/CBMiT0FVX3lxTE8tZDM1ZGhGUFpfN0hKU3BUOHJPdlFxdVo0bWhYcDIwcjBVWXVvR1plMS1BdTAyQVJTUVRvdm55cXF4OXJsY1ZSVVhfZ1FfYk0?oc=5,unclear,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-04-24,勁報,新北市私立吉尼爾幼兒園不當對待案件說明 教育局：6人遭處分、最重終身列管 - 勁報,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1PVVZ5Mi0tTzNuRzJ2bUlrVlN1ZXdJYTBQTVBlUmFtazJSYUdrMUtlZnNJdEFPRDRzdzk2RHBLaUVIMnJiZFNScnhCdTlIMEdsSlBSTjZ6Qm5qQ1VrZFFfbw?oc=5,incident,,,,標題提及其他縣市（北市），不予歸屬,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-01-22,自由時報,新北幼兒園被爆4天虐童50次 林月琴：放任無照教保員進班「20年」 - 自由時報,https://news.google.com/rss/articles/CBMiZEFVX3lxTE1yQzNldU1OTVhTODc4eUhvR05XeHJ6NWFwVC1iSmRUSEcxRFNwVXVCUEdTTEZZTy04R1VjenRjbWo4WDNTTGhnYjF4ZG8wTzJ2aDVZT29kV3ZUUjRMY0hzckN0QnU?oc=5,incident,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-04-13,mombaby.com.tw,新莊幼兒園爆不當對待！群組要老師「動作輕點、檢查書包是否有錄音筆」教育局重罰並擬勒令停辦 - mombaby.com.tw,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1RT3ZJV0xNT21HMkdlOVBlYnhOOE53VUFVU0VKY2VPZE9jNDdlV29kblFOc1U3MXFPQ2Z2VVNBV1Q5cDVuQVZobmtOM0lxeUtlWExKRGhB?oc=5,incident,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-04-24,tw.news.yahoo.com,新莊幼兒園爆虐童！6師施暴拍打、剪刀嚇童遭處分 園方罰30萬停招1年 - tw.news.yahoo.com,https://news.google.com/rss/articles/CBMioANBVV95cUxPU3NxRHJQd2xJajZqMjBXNWZsSjhYaDliZ0x2MlgzWkhWS1hsOWN5dVlrZUdnVE1pS2tmb0d0TXpVaGNjTTMxLTdBcnA5aDZuNlNBdllCMm1ha0JmdWl4MG9XNTJ4RkhZZjBkaU0yVkx1UXJ6amZHM3Q0RFF3S1BHZW9YOEZhWEFpaDZveW1ITThGWG5HSVdnTGk4bUpTbnI1MlllYWhvcm9fR0pNbnMwQmR4MXd1N1B5cGFKal9hZHhZcVdCN3JTekRoRkEzQld1cFpkb1BzTEF1OG5sYldLTjZZekEweXNnUG0yQ2x5Nk0yVU40dUs2SkNSMDlIcDdJQVl6RzRuenphY3RHMmxYcjJqODNLRlU5MlNDb3UxYXVVemoyQzd2TXEybzJlZmkxWmJWTV9nVS1ZeWpCMlA4VVZsR3RGZmVteldlbS1KMXRiYUFxZFhHWk8tTGoxV3pUOEdDUjFFU1d1anp6S1dYZmZOZkEta0MwOTd0YVdhTkNKMTJqMDFjSHdxWHA5U2JhV3BUM2RYWlNJZDhONm5Hdg?oc=5,incident,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
2026-09-03-news-v1,不當對待,2026-01-22,ETtoday新聞雲,當沙包？新北幼兒園狠師4天踢踹幼童50次　家長痛批教育局避重就輕 - ETtoday新聞雲,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1GMDdOdVdZZjI5OVc0bE1hbXRpYnpfTVRsLVdzTno1b2lFcFRQajFLczQzU0dYQmJmREpubTNYQmZCcS1keTA4TzE5V2dXNi1vRzRTdDRPRW5yR0c5UnfSAUtBVV95cUxPYTQ3TVVWdzdLRGM4NkQwUWNuQjdBdnR0NWlBREhydHVyUll2U004SWlXRlQxTXotNTBqV2w3WG1nTm9ORmFfTnRyLWc?oc=5,unclear,,,,標題未以機構名稱形式出現可辨識名稱,0,0,待人工研判
