code,short_name,academic_year,rule,rule_text,passed,detail,severity
N01,安溪,110,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 564,718 vs 負債 564,718，差額 +0",medium
N01,安溪,110,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 6,791,844 = 負債 6,791,844",high
N01,安溪,110,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 1,099,000，本期餘絀 +218,557（未虧損）",high
N01,安溪,110,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 1,099,000 = 收入合計 11,284,869 的 9.7%",high
N01,安溪,110,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 882,155（決算 6,763,467 / 預算 7,645,622），同期支出合計超支 933,408。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N01,安溪,110,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,False,"附註五揭露 124,680 vs 年末應付受託法人款 299,357，差額 +174,677；本年度以現金支付約 0（表列行政管理費 124,680 − 揭露數）",medium
N01,安溪,110,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,科目名稱含「淨額」：延後托育收入淨額——可能為代收代付，需確認是否總額入帳,medium
N01,安溪,111,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 638,981 vs 負債 638,981，差額 +0",medium
N01,安溪,111,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 8,091,844 = 負債 8,091,844",high
N01,安溪,111,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 1,300,000，本期餘絀 +649,872（未虧損）",high
N01,安溪,111,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 1,300,000 = 收入合計 17,393,407 的 7.5%",high
