code,short_name,academic_year,rule,rule_text,passed,detail,severity,sources,year_kind,entity_type
COHORT,全市公共化園,111-114,非營利園收費明細在外部來源停止公開,偵測收費異常需要**逐項**家長收費（學費／雜費／材料費／活動費／餐點費），那只有向主管機關申報的收費明細有。財報附註三提供的是彙總（家長繳費與政府學費差額補助兩個數字），足以查分攤比率，不足以查個別費目是否超收或挪用（例如附註二(十)3.(2)「餐點費，不得移作他用」要對的就是餐點費那一項）。,False,"非營利園收費明細檔數：109 學年度 20/52 檔；110 學年度 28/52 檔；111 學年度 0/52 檔；112 學年度 0/52 檔；113 學年度 0/52 檔；114 學年度 0/52 檔。全市總檔數同期為 1,115／1,147／1,109／1,108／1,098／1,085，公立園覆蓋 284–291／294，均無下降，故非爬取失敗。結果是 132 份非營利財報中，只有 110 學年度的 28 份（21.2%）有逐項家長收費可交叉。✅ 但彙總層級並未斷炊：財報附註三「收支明細表 1. 教保費收入」在 115/132 份報告中列出家長繳費與政府學費差額補助，且與收支餘絀表教保費收入完全對帳，四個學年度都可用。⚠️ 逐項缺口是資料可得性問題：鏡像未收錄與該園未申報在公開資料上無法區分，不得據此認定違反幼照法第 38 條。建議之查核事項為主管機關端的申報收件紀錄是否完整。",medium,收費明細來源目錄清點（scrape.fees.list_slip_files）／財報附註三（教保費收入拆分）,學年度,非營利
COHORT,全市公共化園,110-113,非營利園每生營運成本上升，增幅由政府端承擔,教保費收入 ÷ 實際招收人數 即每名幼兒之年度營運成本。附註二(五)定義收入總額時明示家長繳費與政府差額補助合併計算，而附註三「收支明細表 1. 教保費收入」把兩者分開列出，故增幅來自哪一端是可以查的。,False,"每生教保費收入中位數：110 102,287；111 111,778；112 116,551；113 138,439（+35.3%）。拆開後：每生家長繳費 110 21,998；111 16,414；112 16,509；113 15,675（-28.7%）；每生政府學費差額補助 110 80,240；111 96,539；112 100,031；113 121,719（+51.7%）；家長分攤比率 110 0.209；111 0.153；112 0.146；113 0.113（-45.8%）。→ 每生營運成本上升，但家長每生負擔下降，增幅由政府端承擔，與 111 年 8 月起學前補助政策的方向一致，本身不是異常。值得查核的是**成本本身**：核定之營運成本分攤數逐年調升的依據、以及 111 學年度起逐項家長收費不在公開資料中（見「非營利園收費明細在外部來源停止公開」）使費目層級無法覆核。",medium,收支餘絀表（教保費收入）／財報附註三（家長繳費／政府學費差額補助）／財報附註一（實際招收人數）,學年度,非營利
COHORT,全市公共化園,112-114,公立園推估滿園率下降、每生政府投入上升,把決算書接上全市統一收費基準與登記核定人數之後，才能算出決算書本身不含的兩個量：推估在園人數與每生政府投入。少子化下滿園率下降是預期的；值得查核的是公庫撥款不隨之調整，使每生公務成本同期上升。,False,"推估滿園率中位數：112 年度 0.793；113 年度 0.759；114 年度 0.738（112→114 -6.9%）。每生政府投入中位數：112 年度 113,703 元；113 年度 124,699 元；114 年度 150,706 元（112→114 +32.5%）。建議查核事項：核定招收人數與班級數是否已依實際招生檢討，以及員額編制與園舍使用是否配合調整。",high,決算書基金來源表／收費明細／園所基本資料（核定招收人數）,年度,公立
N01,安溪,110,教保費收入 = 收費 × 人數,收費明細申報之每生全學年度收費 × 財報附註一所載實際招收人數，應等於收支餘絀表之教保費收入決算數。此對應經 110 學年度 28 份報告實測，中位比值 1.0004、27/28 落在 ±4% 內，故偏離可視為三個數字之一有誤。,True,"教保費收入 10,069,260 ÷ 實際招收 90 人 = 每生 111,881，申報收費年額 111,864，比值 1.000",medium,收支餘絀表（教保費收入）／財報附註一（實際招收人數）／收費明細（全學期總收費）,學年度,非營利
N01,安溪,110,核定人數 財報=登記,財報附註一所載核定招收總人數，應與全國教保資訊網登記之核定招收人數相符。核定人數同時是收費、補助、師生比與樓地板面積的分母，任一系統記載不同，所有以它為基礎的計算都會跟著錯。,False,財報 90 人，登記 136 人，差 +46 人（容差 20 人）。請確認哪一邊是現行核定數，以及以另一邊為基礎核算之收費與補助是否需更正。　旁證：登記室內面積 684.3 ㎡，除以登記核定為 5.0 ㎡/人、除以財報核定為 7.6 ㎡/人（室內活動室法定下限 2.5 ㎡/人；主檔面積為全園室內面積，範圍較寬）,medium,財報附註一（核定招收人數）／園所基本資料（count_approved）,學年度,非營利
N01,安溪,110,師生比貼齊法定上限,財報附註一之實際招收人數 ÷ 教保服務人員數。幼兒教育及照顧法就 3 歲以上幼兒之配置上限為每 15 名 1 人（2 歲專班更嚴）。全體 132 份報告最大值恰為 15，無一超過，故本檢核標示的是已貼齊上限、任一人請假即無緩衝的情形。,True,90 名幼兒 ÷ 9 位 = 10.00（上限 15）,medium,財報附註一（實際招收人數、教保服務人員數）,學年度,非營利
N01,安溪,110,隱含收費年額 同儕偏離,教保費收入決算數 ÷ 實際招收人數，即財報反推之每名幼兒年度營運成本（含政府差額補助）。111 學年度起收費明細不在公開資料中，這是唯一可用的收費代理量，故僅能與同年度同類型同儕比較，不設絕對門檻。,True,"每生教保費收入 111,880.667 元/生（同年度中位 102,287.449 元/生，穩健 z=+0.92）",medium,收支餘絀表（教保費收入）／財報附註一（實際招收人數）／同年度非營利園同儕,學年度,非營利
N01,安溪,110,家長月均實繳 ≤ 登記月費,附註三「收支明細表 1. 教保費收入」之「教保費收入（家長繳費）」÷ 實際招收人數 ÷ 12 個月，與園所基本資料登記之每月收費比較。第二胎以上、低收入戶與身心障礙幼兒依規定減免，所以**平均值本應低於登記月費**；高於登記月費比低於更難解釋。,True,"家長繳費 1,940,500 ÷ 90 人 ÷ 12 月 = 每月 1,797，登記月費 2,000",medium,財報附註三（教保費收入－家長繳費）／財報附註一（實際招收人數）／園所基本資料（每月收費）,學年度,非營利
N01,安溪,110,家長分攤比率 同儕偏離,家長繳費 ÷（家長繳費 + 政府學費差額補助）。非營利園是成本分攤制，分攤比率由核定之營運成本與家長收費數額共同決定，同一年度同一制度下應相近。全市中位數自 110 學年度 0.209 降至 113 學年度 0.113（政府端承擔上升），故僅與同年度同儕比較，不設絕對門檻。,True,家長分攤比率 0.193（同年度中位 0.209，穩健 z=-0.77）,medium,財報附註三（教保費收入－家長繳費／政府學費差額補助）／同年度非營利園同儕,學年度,非營利
N01,安溪,111,教保費收入 = 收費 × 人數,收費明細申報之每生全學年度收費 × 財報附註一所載實際招收人數，應等於收支餘絀表之教保費收入決算數。此對應經 110 學年度 28 份報告實測，中位比值 1.0004、27/28 落在 ±4% 內，故偏離可視為三個數字之一有誤。,,111 學年度查無非營利園收費明細（鏡像自 111 學年度起全市 0 檔，109／110 分別為 23／31 檔）——資料不足，非該園未申報,medium,收支餘絀表（教保費收入）／財報附註一（實際招收人數）／收費明細（全學期總收費）,學年度,非營利
