code,short_name,year,year_kind,entity_type,tuition_income,approved_capacity,actual_enrolment,educators,material_cost,implied_fee_per_child,filed_fee_per_child,fee_identity_ratio,enrolment_utilisation,staff_ratio,material_per_child,registry_capacity_max,capacity_gap,income_period,period_months,full_year,implied_fee_annualised,registry_indoor_area,area_per_child_registry,area_per_child_report,parent_fee,gov_subsidy,fee_split_subtotal,fee_split_total,parent_share,parent_per_child,gov_subsidy_per_child,parent_monthly_avg,registry_monthly,tuition_actual,tuition_budget,gov_transfer_actual,fund_use_actual,fee_year_basis,fee_basis_note,n_branches,capacity_basis,implied_enrolment,implied_enrolment_budget,occupancy,occupancy_budget,gov_per_child,cost_per_child
N01,安溪,110,學年度,非營利,10069260.0,90.0,90.0,9.0,1245534.0,111880.66666666667,111864.0,1.0001489904407734,1.0,10.0,13839.266666666666,136.0,46.0,110.8.1~111.7.31,12,True,111880.66666666667,684.34,5.031911764705883,7.603777777777778,1940500.0,8128760.0,10069260.0,10069260.0,0.19271525414975876,21561.11111111111,90319.55555555556,1796.7592592592591,2000.0,,,,,,,,,,,,,,
N01,安溪,111,學年度,非營利,16337854.0,136.0,134.0,12.0,2084531.0,121924.28358208956,,,0.9852941176470589,11.166666666666666,15556.201492537313,136.0,0.0,111.8.1~112.7.31,12,True,121924.28358208954,684.34,5.031911764705883,5.031911764705883,2152116.0,14185738.0,16337854.0,16337854.0,0.13172574562118133,16060.567164179105,105863.71641791044,1338.3805970149253,2000.0,,,,,,,,,,,,,,
N01,安溪,112,學年度,非營利,17324859.0,136.0,134.0,12.0,2216621.0,129289.99253731343,,,0.9852941176470589,11.166666666666666,16541.94776119403,136.0,0.0,民國112年8月1日至113年7月31日,12,True,129289.99253731343,684.34,5.031911764705883,5.031911764705883,2202863.0,15121996.0,17324859.0,17324859.0,0.12715041432660434,16439.276119402984,112850.71641791044,1369.9396766169154,2000.0,,,,,,,,,,,,,,
N01,安溪,113,學年度,非營利,17990000.0,120.0,118.0,12.0,1890864.0,152457.62711864407,,,0.9833333333333333,9.833333333333334,16024.271186440677,136.0,16.0,民國113年8月1日至114年7月31日,12,True,152457.62711864407,684.34,5.031911764705883,5.702833333333333,2040000.0,15950000.0,17990000.0,17990000.0,0.11339633129516398,17288.13559322034,135169.49152542374,1440.6779661016951,2000.0,,,,,,,,,,,,,,
N02,山北,110,學年度,非營利,10232397.0,90.0,90.0,10.0,1085568.0,113693.3,114297.0,0.9947181465830249,1.0,9.0,12061.866666666667,90.0,0.0,110.8.1~111.7.31,12,True,113693.3,364.84,4.0537777777777775,4.0537777777777775,2135565.0,8096832.0,10232397.0,10232397.0,0.20870622983060566,23728.5,89964.8,1977.375,2000.0,,,,,,,,,,,,,,
N02,山北,111,學年度,非營利,10232832.0,90.0,90.0,10.0,1115609.0,113698.13333333333,,,1.0,9.0,12395.655555555555,90.0,0.0,111.8.1~112.7.31,12,True,113698.13333333335,364.84,4.0537777777777775,4.0537777777777775,,,,,,,,,2000.0,,,,,,,,,,,,,,
N02,山北,112,學年度,非營利,12764928.0,90.0,90.0,10.0,1219134.0,141832.53333333333,,,1.0,9.0,13545.933333333332,90.0,0.0,112.8.1~113.7.31,12,True,141832.53333333333,364.84,4.0537777777777775,4.0537777777777775,1510652.0,11254276.0,12764928.0,12764928.0,0.11834394992278845,16785.022222222222,125047.51111111112,1398.7518518518518,2000.0,,,,,,,,,,,,,,
N02,山北,113,學年度,非營利,14066000.0,86.0,86.0,10.0,1120241.0,163558.13953488372,,,1.0,8.6,13026.058139534884,90.0,4.0,民國113年8月1日至114年7月31日,12,True,163558.13953488372,364.84,4.0537777777777775,4.242325581395349,1236000.0,12830000.0,14066000.0,14066000.0,0.0878714631025167,14372.093023255815,149186.0465116279,1197.6744186046512,2000.0,,,,,,,,,,,,,,
N03,龍埔成長,110,學年度,非營利,10094201.0,90.0,90.0,9.0,1126043.0,112157.78888888888,112020.0,1.0012300382868138,1.0,10.0,12511.58888888889,90.0,0.0,民國110年8月1日至111年7月31日 (110.8.1~111.7.31),12,True,112157.78888888888,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,
N03,龍埔成長,111,學年度,非營利,10081365.0,90.0,89.0,9.0,1198211.0,113273.76404494382,,,0.9888888888888889,9.88888888888889,13463.044943820225,90.0,0.0,民國111年8月1日至112年7月31日 (111.8.1~112.7.31),12,True,113273.7640449438,,,,1423575.0,8657790.0,10081365.0,10081365.0,0.14120855657939177,15995.224719101123,97278.53932584269,1332.935393258427,2000.0,,,,,,,,,,,,,,
N03,龍埔成長,112,學年度,非營利,10090612.0,90.0,90.0,9.0,1350447.0,112117.91111111111,,,1.0,10.0,15004.966666666667,90.0,0.0,民國112年8月1日至113年7月31日 (112.8.1~113.7.31),12,True,112117.91111111111,,,,1225476.0,8865136.0,10090612.0,10090612.0,0.12144714314652075,13616.4,98501.51111111112,1134.7,2000.0,,,,,,,,,,,,,,
N03,龍埔成長,113,學年度,非營利,11931000.0,72.0,71.0,9.0,1183148.0,168042.25352112675,,,0.9861111111111112,7.888888888888889,16664.056338028167,90.0,18.0,民國113年8月1日至114年7月31日 (113.8.1~114.7.31),12,True,168042.25352112675,,,,811000.0,11120000.0,11931000.0,11931000.0,0.06797418489648814,11422.535211267606,156619.71830985916,951.8779342723005,2000.0,,,,,,,,,,,,,,
N04,海工,110,學年度,非營利,6210921.0,60.0,60.0,5.0,956833.0,103515.35,103572.0,0.9994530375004829,1.0,12.0,15947.216666666667,60.0,0.0,110.8.1~111.7.31,12,True,103515.35000000002,211.4,3.5233333333333334,3.5233333333333334,1157666.0,5053255.0,6210921.0,6210921.0,0.1863920020879351,19294.433333333334,84220.91666666667,1607.8694444444445,2000.0,,,,,,,,,,,,,,
N04,海工,111,學年度,非營利,6214320.0,60.0,60.0,4.0,1040430.0,103572.0,,,1.0,15.0,17340.5,60.0,0.0,111.8.1~112.7.31,12,True,103572.0,211.4,3.5233333333333334,3.5233333333333334,990000.0,5224320.0,6214320.0,6214320.0,0.15930946587880895,16500.0,87072.0,1375.0,2000.0,,,,,,,,,,,,,,
N04,海工,112,學年度,非營利,6202211.0,60.0,60.0,5.0,1098507.0,103370.18333333333,,,1.0,12.0,18308.45,60.0,0.0,112.8.1~113.7.31,12,True,103370.18333333333,211.4,3.5233333333333334,3.5233333333333334,990521.0,5211690.0,6202211.0,6202211.0,0.15970449892788233,16508.683333333334,86861.5,1375.7236111111113,2000.0,,,,,,,,,,,,,,
