entity_type,short_name,year,year_kind,flagged,n_failed,top_rules,observable_from,label_end,n_prior_penalties,has_prior,penalised_after,n_penalties_after,first_penalty_after,lead_days
公立,新北市立三峽幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,1,1,2025-08-07,402
公立,新北市立三峽幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,1,1,0,0,,
公立,新北市立三芝幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立三芝幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立三芝幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立三重幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立三重幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立三重幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立中和幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立中和幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立中和幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立五股幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,1,3,2025-02-27,241
公立,新北市立五股幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,3,1,0,0,,
公立,新北市立八里幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立八里幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立八里幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立土城幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立土城幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立新店幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立新店幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立新店幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立新莊幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立新莊幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立板橋幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立板橋幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立板橋幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立林口幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立林口幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立林口幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立樹林幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立樹林幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立樹林幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立永和幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立永和幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立永和幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立泰山幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,1,1,1,1,2025-08-19,414
公立,新北市立泰山幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,1,1,1,1,2025-08-19,49
公立,新北市立泰山幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,2,1,0,0,,
公立,新北市立淡水幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立淡水幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立淡水幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立深坑幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立深坑幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立深坑幼兒園,114,年度,0,0,,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立烏來幼兒園,112,年度,1,1,每生政府投入 同儕偏高,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立烏來幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立烏來幼兒園,114,年度,1,1,每生政府投入 同儕偏高,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立瑞芳幼兒園,112,年度,1,1,推估滿園率 同儕偏低,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立萬里幼兒園,112,年度,1,2,推估滿園率 同儕偏低；每生政府投入 同儕偏高,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立萬里幼兒園,113,年度,1,2,推估滿園率 同儕偏低；每生政府投入 同儕偏高,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立萬里幼兒園,114,年度,1,2,推估滿園率 同儕偏低；每生政府投入 同儕偏高,2026-07-01,2026-07-29,0,0,0,0,,
公立,新北市立蘆洲幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立蘆洲幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立金山幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,0,0,,
公立,新北市立金山幼兒園,113,年度,1,2,推估滿園率 同儕偏低；每生政府投入 同儕偏高,2025-07-01,2026-07-29,0,0,0,0,,
公立,新北市立鶯歌幼兒園,112,年度,0,0,,2024-07-01,2026-07-29,0,0,1,1,2024-09-04,65
公立,新北市立鶯歌幼兒園,113,年度,0,0,,2025-07-01,2026-07-29,1,1,0,0,,
