file,short_name,academic_year,extracted_operator,registry_operators,operator_match,contract_period,period_contains_year,opening_year,total_assets,registry_capacity,assets_per_place,magnitude_plausible
N01_安溪_110.json,安溪,110,社團法人桃園市教保服務人員協會,桃園市教保服務人員協會,True,108年8月1日至112年7月31日,True,0,14735315,136,108348,True
N01_安溪_111.json,安溪,111,社團法人桃園市教保服務人員協會,桃園市教保服務人員協會,True,108年8月1日至112年7月31日,True,0,20469369,136,150510,True
N01_安溪_112.json,安溪,112,社團法人桃園市教保服務人員協會,桃園市教保服務人員協會,True,112年8月1日至116年7月31日,True,1,24140447,136,177503,
N01_安溪_113.json,安溪,113,社團法人桃園市教保服務人員協會,桃園市教保服務人員協會,True,112年8月1日至116年7月31日,True,0,26187977,136,192559,True
N02_山北_110.json,山北,110,財團法人三之三生命教育基金會,三之三生命教育基金會,True,108年8月1日至112年7月31日,True,0,10482506,90,116472,True
N02_山北_111.json,山北,111,財團法人三之三生命教育基金會,三之三生命教育基金會,True,108年8月1日至112年7月31日,True,0,12172850,90,135254,True
N02_山北_112.json,山北,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,112年8月1日至116年7月31日,True,1,14224642,90,158052,
N02_山北_113.json,山北,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,112年8月1日至116年7月31日,True,0,16869798,90,187442,True
N03_龍埔成長_110.json,龍埔成長,110,財團法人成長文教基金會,成長文教基金會,True,109年8月1日至113年7月31日,True,0,9229892,90,102554,True
N03_龍埔成長_111.json,龍埔成長,111,財團法人成長文教基金會,成長文教基金會,True,109年8月1日至113年7月31日,True,0,11149432,90,123883,True
N03_龍埔成長_112.json,龍埔成長,112,財團法人成長文教基金會,成長文教基金會,True,109年8月1日至113年7月31日,True,0,13476093,90,149734,True
N03_龍埔成長_113.json,龍埔成長,113,財團法人成長文教基金會,成長文教基金會,True,113年8月1日至117年7月31日,True,1,14987068,90,166523,
N04_海工_110.json,海工,110,社團法人新北市幼兒成長協會,新北市幼兒成長協會,True,109年8月1日至113年7月31日,True,0,5285338,60,88089,True
N04_海工_111.json,海工,111,社團法人新北市幼兒成長協會,新北市幼兒成長協會,True,109年8月1日至113年7月31日,True,0,5928185,60,98803,True
N04_海工_112.json,海工,112,社團法人新北市幼兒成長協會,新北市幼兒成長協會,True,109年8月1日至113年7月31日,True,0,7790743,60,129846,True
N04_海工_113.json,海工,113,社團法人新北市幼兒成長協會,新北市幼兒成長協會,True,113年8月1日至117年7月31日,True,1,9032432,60,150541,
N05_漢翔_110.json,漢翔,110,財團法人三之三生命教育基金會,三之三生命教育基金會,True,109年8月1日至113年7月31日,True,0,12286520,76,161665,True
