title,type,academic_year,slip_status,n_semesters_filed,n_age_groups,class_types,y_學費,y_雜費,y_材料費,y_活動費,y_午餐費,y_點心費,y_交通費,y_課後延托費,y_家長會費,y_全學期總收費,y_學雜費,y_餐點費,y_代收代辦,y_核心合計
國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,109,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,110,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,111,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,112,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,113,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,114,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國防部陸軍司令部前鋒員工子女非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,非營利,109,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國防部陸軍司令部前鋒員工子女非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,非營利,110,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國防部陸軍司令部前鋒員工子女非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,非營利,111,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國防部陸軍司令部前鋒員工子女非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,非營利,112,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國防部陸軍司令部前鋒員工子女非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,非營利,113,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
國防部陸軍司令部前鋒員工子女非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,非營利,114,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),非營利,109,已申報,2,3,全日班,,,,,,,,,,99972.0,,,,
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),非營利,110,已申報,2,3,全日班,,,,,,,,,,99972.0,,,,
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),非營利,111,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),非營利,112,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),非營利,113,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),非營利,114,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託社團法人中華巧耕多元教育發展協會辦理),非營利,109,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託社團法人中華巧耕多元教育發展協會辦理),非營利,110,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託社團法人中華巧耕多元教育發展協會辦理),非營利,111,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託社團法人中華巧耕多元教育發展協會辦理),非營利,112,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託社團法人中華巧耕多元教育發展協會辦理),非營利,113,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三多非營利幼兒園(委託社團法人中華巧耕多元教育發展協會辦理),非營利,114,未申報或鏡像未收錄,0,0,,,,,,,,,,,,,,,
新北市三峽區三峽國民小學附設幼兒園,公立,109,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區三峽國民小學附設幼兒園,公立,110,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區三峽國民小學附設幼兒園,公立,111,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區三峽國民小學附設幼兒園,公立,112,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區三峽國民小學附設幼兒園,公立,113,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區三峽國民小學附設幼兒園,公立,114,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區五寮國民小學附設幼兒園,公立,109,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區五寮國民小學附設幼兒園,公立,110,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區五寮國民小學附設幼兒園,公立,111,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區五寮國民小學附設幼兒園,公立,112,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區五寮國民小學附設幼兒園,公立,113,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區五寮國民小學附設幼兒園,公立,114,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,,,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區介壽國民小學附設幼兒園,公立,109,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,0.0,0.0,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區介壽國民小學附設幼兒園,公立,110,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,0.0,0.0,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
新北市三峽區介壽國民小學附設幼兒園,公立,111,已申報,2,3,全日班,14000.0,1350.0,2700.0,1800.0,6300.0,7200.0,0.0,0.0,200.0,33350.0,15350.0,13500.0,18000.0,33350.0
