title,fee_109,fee_110,fee_111,fee_112,fee_113,fee_114,max_jump_pct,max_jump_pre113_pct
功學社教育用品股份有限公司附設新北市私立燕翔幼兒園,88010,88010,88010,88010,88010,88010,0.0,0.0
南山學校財團法人新北市南山高級中學附設私立員工幼兒園,93375,90000,91667,91667,93333,94667,1.85,1.85
台灣基督長老教會淡江學校財團法人新北市私立淡江高級中學附設新北市私立純德幼兒園,70283,73250,71658,73583,77757,82784,6.46,4.22
品哲文化股份有限公司附設新北市私立英群幼兒園,,,,,123000,123000,0.0,
嘉聲文教事業股份有限公司附設新北市私立佳呈幼兒園,,,,,,153862,,
嘉聲文教事業股份有限公司附設新北市私立嘉聲幼兒園,,,,,,153162,,
夏恩國際教育股份有限公司附設新北市私立夏恩昌隆幼兒園,,,116550,120300,120300,120300,3.22,3.22
天主教耕莘醫療財團法人附設新北市私立永和耕莘幼兒園,90000,90000,90000,90000,90000,,0.0,0.0
天主教聖心學校財團法人新北市聖心國民小學附設私立善牧園幼兒園,,,,,50250,54362,8.18,
天億文教事業股份有限公司附設新北市私立皇家幼兒園,68000,77900,81300,81300,92910,92910,14.56,14.56
奇異林股份有限公司附設新北市私立奇異鳥麗林幼兒園,148500,152250,152250,152250,159000,159000,4.43,2.53
奇異莊股份有限公司附設新北市私立奇異鳥幼兒園,,,,,,159000,,
寶寶潛能開發股份有限公司附設新北市私立奇異鳥蘆洲幼兒園,,152250,152250,152250,159000,159000,4.43,0.0
小太陽教育事業股份有限公司附設新北市私立小太陽美學幼兒園,91750,96250,98500,98500,98500,98500,4.9,4.9
康橋學校財團法人新北市康橋高級中學附屬新北市私立康橋幼兒園,181850,173200,186400,188800,196867,196867,7.62,7.62
康軒文教事業股份有限公司附設新北市私立員工幼兒園,175815,179565,194865,197565,205568,205568,8.52,8.52
建豐國際資產管理股份有限公司附設新北市私立卡爾維德幼兒園,,,70750,70750,71825,71825,1.52,0.0
建豐建設股份有限公司附設新北市私立卡爾維德幼兒園,65500,65500,65500,,,,0.0,0.0
新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),49986,49986,,,,,0.0,0.0
新北市三峽區三峽國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三峽區五寮國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三峽區介壽國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三峽區大埔國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三峽區建安國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三峽區插角國民小學附設幼兒園,17125,17125,17125,17125,17125,,0.0,0.0
新北市三峽區民義國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三峽區農會附設新北市私立幼兒園,56325,61075,61075,61075,64075,64550,8.43,8.43
新北市三芝區三芝國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三芝區興華國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區三光國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區三重國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區二重國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區五華國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區修德國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區光榮國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區光興國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區厚德國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區正義國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區永福國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區碧華國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市三重區興穀國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
