short,title,code,path,capacity,operator,n_penalties_after_cutoff,first_penalty,articles,max_severity,is_case
安興,新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),N09,data/raw/資料集/非營利園財報/111學年度/N09安興_111學年度財務報告.pdf,60,社團法人臺灣兒童教育發展協會,6,2023-08,"12,33",5,1
昌福,新北市昌福非營利幼兒園（委託明新學校財團法人明新科技大學辦理）,N12,data/raw/資料集/非營利園財報/111學年度/N12昌福_111學年度財務報告.pdf,90,明新學校財團法人明新科技大學,8,2025-03,"30,32,33",5,1
文中,新北市文中非營利幼兒園(委託財團法人三之三生命教育基金會辦理),N30,data/raw/資料集/非營利園財報/111學年度/N30文中_111學年度財務報告.pdf,106,財團法人三之三生命教育基金會,4,2025-02,"17,33",5,1
福營,新北市福營非營利幼兒園(委託社團法人中華兆陽文教發展協會辦理),N18,data/raw/資料集/非營利園財報/111學年度/N18福營_111學年度財務報告.pdf,120,社團法人中華兆陽文教發展協會,2,2025-08,33,5,1
碧城,新北市碧城非營利幼兒園(委託財團法人仁德醫護管理專科學校辦理),N25,data/raw/資料集/非營利園財報/111學年度/N25碧城_111學年度財務報告.pdf,120,財團法人仁德醫護管理專科學校,2,2024-05,"30,33",5,1
新林,新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),N11,data/raw/資料集/非營利園財報/111學年度/N11新林_111學年度財務報告.pdf,136,社團法人中華音樂舞蹈暨表演藝術教育協會,1,2024-05,30,4,1
中正,新北市中正非營利幼兒園(委託財團法人三之三生命教育基金會辦理),N17,data/raw/資料集/非營利園財報/111學年度/N17中正_111學年度財務報告.pdf,136,財團法人三之三生命教育基金會,1,2024-12,33,5,1
北大,新北市北大非營利幼兒園(委託明新學校財團法人明新科技大學辦理),N07,data/raw/資料集/非營利園財報/111學年度/N07北大_111學年度財務報告.pdf,182,明新學校財團法人明新科技大學,5,2024-03,"17,30",4,1
新月,新北市新月非營利幼兒園(委託財團法人彭婉如文教基金會辦理),N15,data/raw/資料集/非營利園財報/111學年度/N15新月_111學年度財務報告.pdf,484,財團法人彭婉如文教基金會,1,2024-06,12,4,1
海工,新北市海工非營利幼兒園(委託社團法人新北市幼兒成長協會辦理),N04,data/raw/資料集/非營利園財報/111學年度/N04海工_111學年度財務報告.pdf,60,社團法人新北市幼兒成長協會,0,,,0,0
山北,新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,N02,data/raw/資料集/非營利園財報/111學年度/N02山北_111學年度財務報告.pdf,90,財團法人三之三生命教育基金會,0,,,0,0
鷺江,新北市鷺江非營利幼兒園(委託財團法人彭婉如文教基金會辦理),N08,data/raw/資料集/非營利園財報/111學年度/N08鷺江_111學年度財務報告.pdf,106,財團法人彭婉如文教基金會,0,,,0,0
昌平,新北市昌平非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,N06,data/raw/資料集/非營利園財報/111學年度/N06昌平_111學年度財務報告.pdf,120,財團法人三之三生命教育基金會,0,,,0,0
中平,新北市中平非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理),N16,data/raw/資料集/非營利園財報/111學年度/N16中平_111學年度財務報告.pdf,120,社團法人新北市中華國際嬰幼兒發展學會,0,,,0,0
安溪,新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理),N01,data/raw/資料集/非營利園財報/111學年度/N01安溪_111學年度財務報告.pdf,136,社團法人桃園市教保服務人員協會,0,,,0,0
中園,新北市中園非營利幼兒園(委託財團法人成長文教基金會辦理),N19,data/raw/資料集/非營利園財報/111學年度/N19中園_111學年度財務報告.pdf,136,財團法人成長文教基金會,0,,,0,0
積穗,新北市積穗非營利幼兒園(委託財團法人三之三生命教育基金會辦理),N14,data/raw/資料集/非營利園財報/111學年度/N14積穗_111學年度財務報告.pdf,196,財團法人三之三生命教育基金會,0,,,0,0
東湖,新北市東湖非營利幼兒園(委託社團法人新北市巧湖溫馨關懷發展協會辦理),N29,data/raw/資料集/非營利園財報/111學年度/N29東湖_111學年度財務報告.pdf,242,社團法人新北市巧湖溫馨關懷發展協會,0,,,0,0
