code,short_name,prepaid_coverage,reserve_funding_gap,equity_erosion,maintenance_execution,repair_execution,personnel_execution,admin_fee_execution,related_party_priority,enrolment_utilisation,staff_ratio,cost_per_child,unbudgeted_spend,is_case,capacity,operator,first_penalty,max_severity,identity_passed,identity_failed,n_issues
N09,安興,2.579883736904913,0.0,0.16679044419106095,1.4669462365591397,0.8211190476190476,0.786153656090995,1.0,0.21875806202201675,1.0,15.0,148063.16666666666,5339503,1,60,社團法人臺灣兒童教育發展協會,2023-08,5,9,0,4
N12,昌福,2.1690231269492277,0.0,0.1389901043431421,0.5985847457627118,0.9781428571428571,0.8248371740461974,1.0,0.36263124229168575,0.9888888888888889,11.125,121701.89887640449,2082138,1,90,明新學校財團法人明新科技大學,2025-03,5,9,0,3
N30,文中,1.1469553253724487,,,0.17688621850008812,2.14119368950488,0.8168902741406227,0.0,-0.7469767312924156,0.6981132075471698,7.4,102133.63513513513,-1524736,1,106,財團法人三之三生命教育基金會,2025-02,5,8,0,10
N18,福營,2.4112940275650843,0.0,0.045255261050264846,0.9478041958041958,0.9948452380952381,0.920641087957301,1.0,0.21689289641132958,1.0,12.0,123829.425,5545403,1,120,社團法人中華兆陽文教發展協會,2025-08,5,9,0,6
N25,碧城,2.0888482746705357,0.0,-0.10971535623010281,0.14483216783216782,0.990470238095238,0.900955043040126,1.0,0.3451944312158829,1.0,13.333333333333334,123662.56666666667,7393096,1,120,財團法人仁德醫護管理專科學校,2024-05,5,9,0,6
N11,新林,2.0282937498412763,0.0,0.0436172934254285,0.608034965034965,0.9990178571428572,0.9558682891965599,1.0,0.17309989064328823,0.9926470588235294,12.272727272727273,120969.85925925926,3472110,1,136,社團法人中華音樂舞蹈暨表演藝術教育協會,2024-05,4,8,0,5
N17,中正,2.1757679885503807,0.0,1.0673263117908551,0.4796083916083916,0.8785819327731093,0.8455888601580592,1.0,0.30219322788668945,1.0,12.363636363636363,115996.10294117648,4208188,1,136,財團法人三之三生命教育基金會,2024-12,5,9,0,7
N07,北大,1.9874035375689827,0.0,0.31627435804180737,1.009236842105263,0.8946624803767661,0.8817394422776847,1.0,0.21843052580644262,0.989010989010989,10.588235294117647,118515.86666666667,4668831,1,182,明新學校財團法人明新科技大學,2024-03,4,9,0,4
N15,新月,2.0830909491093177,0.0,0.22942862871117223,0.3243105263157895,0.42164050235478806,0.8450392686938961,1.0,0.5411320411560505,1.0,10.705882352941176,128944.8956043956,9483109,1,484,財團法人彭婉如文教基金會,2024-06,4,9,0,9
N04,海工,2.1129771302272458,0.0,0.07338412462448513,0.9186666666666666,1.9880833333333334,0.8618230920938499,1.0,-0.03352724185785272,1.0,15.0,127999.88333333333,3430967,0,60,社團法人新北市幼兒成長協會,,0,9,0,6
N02,山北,2.1939195131185385,0.0,0.23339939137869195,0.44701694915254236,0.1969920634920635,0.9128408024919021,1.0,0.4731203401995905,1.0,9.0,136526.56666666668,5618899,0,90,財團法人三之三生命教育基金會,,0,9,0,7
N08,鷺江,2.243110086256551,0.0,0.2611804268250095,0.7616433566433567,1.0339016172506739,0.853916946694648,1.0,0.35195587704480147,0.9905660377358491,10.5,130986.94285714286,4324290,0,106,財團法人彭婉如文教基金會,,0,9,0,4
N06,昌平,2.3166385151397586,0.0,-0.03685157681699205,0.5123286713286713,0.6850714285714286,0.8847159187556629,1.0,0.3531712642698994,1.0,12.0,116941.83333333333,5886140,0,120,財團法人三之三生命教育基金會,,0,9,0,7
N16,中平,1.7643128122631522,0.0,0.006056006117115651,0.31393006993006994,0.7024583333333333,0.892190579373678,1.0,0.3960087990191985,1.0,12.0,129438.20833333333,7215529,0,120,社團法人新北市中華國際嬰幼兒發展學會,,0,9,0,5
N01,安溪,1.8387779252877887,0.0,0.41368168372325737,0.2843776223776224,0.30464810924369745,0.8748648561157815,1.0,0.44254710502447125,0.9852941176470589,11.166666666666666,124951.75373134328,3359233,0,136,社團法人桃園市教保服務人員協會,,0,9,0,8
N19,中園,2.169170816739503,0.0,0.11061582237336785,0.5597821088748187,0.7055567226890757,0.86534633241213,1.0,0.2788340784393336,0.9485294117647058,9.923076923076923,125184.82170542635,9012097,0,136,財團法人成長文教基金會,,0,9,0,6
N14,積穗,1.8831639698156732,0.0,0.1380857315022618,0.8867272727272727,0.5246091644204852,0.9390017097844451,1.0,0.383986641904832,1.0,10.6,142685.43396226416,3799096,0,196,財團法人三之三生命教育基金會,,0,9,0,9
N29,東湖,1.8471398230735137,0.0,,0.3974244484585253,1.1056873396078786,0.7976730521878304,1.0,0.31687622870371757,0.9462809917355371,10.904761904761905,93950.97816593887,3369131,0,242,社團法人新北市巧湖溫馨關懷發展協會,,0,9,0,9
