code,short_name,academic_year,anomaly_score,rank_in_year,percentile_in_year,n_peers,n_features,change_score,n_anomalies,anomaly_1,anomaly_2,anomaly_3,contribution_1,contribution_2,contribution_3
N30,文中,111,3.1091,1,100.0,32,14,,4,招收利用率 0.698（同年中位 0.991，偏低，第 3 百分位；同儕 32 園）,負債占資產比 1.206（同年中位 0.836，偏高，第 97 百分位；同儕 32 園）,本期餘絀率 -0.079（同年中位 0.023，偏低，第 6 百分位；同儕 32 園）,招收利用率 0.698（同年中位 0.991，偏低，第 3 百分位；同儕 32 園）,負債占資產比 1.206（同年中位 0.836，偏高，第 97 百分位；同儕 32 園）,本期餘絀率 -0.079（同年中位 0.023，偏低，第 6 百分位；同儕 32 園）
N31,翠中,111,2.9842,2,96.8,32,15,,4,招收利用率 0.700（同年中位 0.991，偏低，第 6 百分位；同儕 32 園）,負債占資產比 1.296（同年中位 0.836，偏高，第 100 百分位；同儕 32 園）,本期餘絀率 -0.092（同年中位 0.023，偏低，第 3 百分位；同儕 32 園）,招收利用率 0.700（同年中位 0.991，偏低，第 6 百分位；同儕 32 園）,負債占資產比 1.296（同年中位 0.836，偏高，第 100 百分位；同儕 32 園）,本期餘絀率 -0.092（同年中位 0.023，偏低，第 3 百分位；同儕 32 園）
N09,安興,113,2.598,1,100.0,38,15,2.4296,3,負債占資產比 0.406（同年中位 0.868，偏低，第 5 百分位；同儕 38 園）,流動比率 2.902（同年中位 1.455，偏高，第 97 百分位；同儕 38 園）,未編列預算支出占比 1.371（同年中位 0.426，偏高，第 100 百分位；同儕 38 園）,負債占資產比 0.406（同年中位 0.868，偏低，第 5 百分位；同儕 38 園）,流動比率 2.902（同年中位 1.455，偏高，第 97 百分位；同儕 38 園）,未編列預算支出占比 1.371（同年中位 0.426，偏高，第 100 百分位；同儕 38 園）
N26,新店及人,113,2.3666,2,97.3,38,15,3.2031,3,流動比率 5.736（同年中位 1.455，偏高，第 100 百分位；同儕 38 園）,負債占資產比 0.271（同年中位 0.868，偏低，第 3 百分位；同儕 38 園）,招收利用率 0.577（同年中位 0.974，偏低，第 3 百分位；同儕 38 園）,流動比率 5.736（同年中位 1.455，偏高，第 100 百分位；同儕 38 園）,負債占資產比 0.271（同年中位 0.868，偏低，第 3 百分位；同儕 38 園）,招收利用率 0.577（同年中位 0.974，偏低，第 3 百分位；同儕 38 園）
N26,新店及人,112,2.2766,1,100.0,34,15,1.9654,5,負債占資產比 0.529（同年中位 0.871，偏低，第 3 百分位；同儕 34 園）,預收款覆蓋倍數 3.973（同年中位 2.026，偏高，第 100 百分位；同儕 34 園）,本期餘絀率 0.178（同年中位 0.010，偏高，第 100 百分位；同儕 34 園）,負債占資產比 0.529（同年中位 0.871，偏低，第 3 百分位；同儕 34 園）,預收款覆蓋倍數 3.973（同年中位 2.026，偏高，第 100 百分位；同儕 34 園）,本期餘絀率 0.178（同年中位 0.010，偏高，第 100 百分位；同儕 34 園）
N20,柏翠,113,1.8861,3,94.6,38,16,0.7312,3,負債占資產比 0.467（同年中位 0.868，偏低，第 8 百分位；同儕 38 園）,流動比率 2.746（同年中位 1.455，偏高，第 95 百分位；同儕 38 園）,預收款覆蓋倍數 4.177（同年中位 2.215，偏高，第 100 百分位；同儕 34 園）,負債占資產比 0.467（同年中位 0.868，偏低，第 8 百分位；同儕 38 園）,流動比率 2.746（同年中位 1.455，偏高，第 95 百分位；同儕 38 園）,預收款覆蓋倍數 4.177（同年中位 2.215，偏高，第 100 百分位；同儕 34 園）
N25,碧城,113,1.7067,4,91.9,38,15,1.3518,3,負債占資產比 0.522（同年中位 0.868，偏低，第 11 百分位；同儕 38 園）,流動比率 2.418（同年中位 1.455，偏高，第 92 百分位；同儕 38 園）,未編列預算支出占比 1.031（同年中位 0.426，偏高，第 97 百分位；同儕 38 園）,負債占資產比 0.522（同年中位 0.868，偏低，第 11 百分位；同儕 38 園）,流動比率 2.418（同年中位 1.455，偏高，第 92 百分位；同儕 38 園）,未編列預算支出占比 1.031（同年中位 0.426，偏高，第 97 百分位；同儕 38 園）
N07,北大,113,1.6449,5,89.2,38,15,1.6977,2,負債占資產比 0.626（同年中位 0.868，偏低，第 13 百分位；同儕 38 園）,人事費執行率 1.049（同年中位 0.874，偏高，第 100 百分位；同儕 38 園）,,負債占資產比 0.626（同年中位 0.868，偏低，第 13 百分位；同儕 38 園）,人事費執行率 1.049（同年中位 0.874，偏高，第 100 百分位；同儕 38 園）,招收利用率 0.846（同年中位 0.974，偏低，第 5 百分位；同儕 38 園）
N04,海工,112,1.629,2,97.0,34,16,1.4127,1,修繕購置費執行率 1.712（同年中位 0.900，偏高，第 97 百分位；同儕 34 園）,,,修繕購置費執行率 1.712（同年中位 0.900，偏高，第 97 百分位；同儕 34 園）,行政管理費占收入比 0.010（同年中位 0.016，偏低，第 12 百分位；同儕 34 園）,人事費執行率 0.608（同年中位 0.843，偏低，第 6 百分位；同儕 34 園）
N33,淡海,112,1.5957,3,93.9,34,16,,3,修繕購置費執行率 1.659（同年中位 0.900，偏高，第 94 百分位；同儕 34 園）,本期餘絀率 0.177（同年中位 0.010，偏高，第 97 百分位；同儕 34 園）,招收利用率 0.934（同年中位 0.998，偏低，第 6 百分位；同儕 34 園）,修繕購置費執行率 1.659（同年中位 0.900，偏高，第 94 百分位；同儕 34 園）,本期餘絀率 0.177（同年中位 0.010，偏高，第 97 百分位；同儕 34 園）,招收利用率 0.934（同年中位 0.998，偏低，第 6 百分位；同儕 34 園）
N26,新店及人,111,1.5874,3,93.5,32,15,1.0337,2,本期餘絀率 0.129（同年中位 0.023，偏高，第 100 百分位；同儕 32 園）,負債占資產比 0.657（同年中位 0.836，偏低，第 6 百分位；同儕 32 園）,,本期餘絀率 0.129（同年中位 0.023，偏高，第 100 百分位；同儕 32 園）,負債占資產比 0.657（同年中位 0.836，偏低，第 6 百分位；同儕 32 園）,材料費占支出比 0.158（同年中位 0.104，偏高，第 100 百分位；同儕 32 園）
N36,明德,113,1.5755,6,86.5,38,15,,2,行政管理費占收入比 0.006（同年中位 0.015，偏低，第 3 百分位；同儕 38 園）,修繕購置費執行率 2.115（同年中位 0.953，偏高，第 95 百分位；同儕 38 園）,,行政管理費占收入比 0.006（同年中位 0.015，偏低，第 3 百分位；同儕 38 園）,修繕購置費執行率 2.115（同年中位 0.953，偏高，第 95 百分位；同儕 38 園）,業務費占支出比 0.057（同年中位 0.030，偏高，第 100 百分位；同儕 38 園）
N28,新樂,110,1.4367,1,100.0,28,15,,2,招收利用率 0.967（同年中位 0.997，偏低，第 11 百分位；同儕 28 園）,"每生成本 47,408.839（同年中位 114,001.366，偏低，第 4 百分位；同儕 28 園）",,招收利用率 0.967（同年中位 0.997，偏低，第 11 百分位；同儕 28 園）,"每生成本 47,408.839（同年中位 114,001.366，偏低，第 4 百分位；同儕 28 園）",修繕購置費執行率 1.408（同年中位 0.953，偏高，第 89 百分位；同儕 28 園）
N20,柏翠,112,1.3993,4,90.9,34,16,1.4865,1,負債占資產比 0.579（同年中位 0.871，偏低，第 6 百分位；同儕 34 園）,,,負債占資產比 0.579（同年中位 0.871，偏低，第 6 百分位；同儕 34 園）,流動比率 2.141（同年中位 1.449，偏高，第 97 百分位；同儕 34 園）,本期餘絀率 0.114（同年中位 0.010，偏高，第 91 百分位；同儕 34 園）
N21,文創,110,1.3809,2,96.3,28,16,,1,招收利用率 0.944（同年中位 0.997，偏低，第 4 百分位；同儕 28 園）,,,招收利用率 0.944（同年中位 0.997，偏低，第 4 百分位；同儕 28 園）,修繕購置費執行率 0.290（同年中位 0.953，偏低，第 7 百分位；同儕 28 園）,人事費占支出比 0.494（同年中位 0.597，偏低，第 4 百分位；同儕 28 園）
N26,新店及人,110,1.3518,3,92.6,28,15,,0,,,,材料費占支出比 0.147（同年中位 0.108，偏高，第 100 百分位；同儕 28 園）,人事費執行率 0.753（同年中位 0.870，偏低，第 4 百分位；同儕 28 園）,流動比率 1.773（同年中位 1.447，偏高，第 96 百分位；同儕 28 園）
N20,柏翠,111,1.284,4,90.3,32,16,0.6973,1,負債占資產比 0.649（同年中位 0.836，偏低，第 3 百分位；同儕 32 園）,,,負債占資產比 0.649（同年中位 0.836，偏低，第 3 百分位；同儕 32 園）,本期餘絀率 0.085（同年中位 0.023，偏高，第 91 百分位；同儕 32 園）,流動比率 1.823（同年中位 1.449，偏高，第 97 百分位；同儕 32 園）
N23,菁湖,112,1.2836,5,87.9,34,16,0.7875,0,,,,行政管理費占收入比 0.010（同年中位 0.016，偏低，第 9 百分位；同儕 34 園）,人事費執行率 0.595（同年中位 0.843，偏低，第 3 百分位；同儕 34 園）,招收利用率 0.962（同年中位 0.998，偏低，第 15 百分位；同儕 34 園）
N29,東湖,111,1.2256,5,87.1,32,15,,1,本期餘絀率 0.109（同年中位 0.023，偏高，第 97 百分位；同儕 32 園）,,,本期餘絀率 0.109（同年中位 0.023，偏高，第 97 百分位；同儕 32 園）,招收利用率 0.946（同年中位 0.991，偏低，第 12 百分位；同儕 32 園）,"每生成本 93,950.978（同年中位 125,068.288，偏低，第 3 百分位；同儕 32 園）"
N04,海工,110,1.2176,4,88.9,28,16,,1,修繕購置費執行率 2.330（同年中位 0.953，偏高，第 100 百分位；同儕 28 園）,,,修繕購置費執行率 2.330（同年中位 0.953，偏高，第 100 百分位；同儕 28 園）,流動比率 1.812（同年中位 1.447，偏高，第 100 百分位；同儕 28 園）,材料費占支出比 0.141（同年中位 0.108，偏高，第 96 百分位；同儕 28 園）
N09,安興,112,1.2085,6,84.8,34,15,1.3447,1,招收利用率 0.950（同年中位 0.998，偏低，第 9 百分位；同儕 34 園）,,,招收利用率 0.950（同年中位 0.998，偏低，第 9 百分位；同儕 34 園）,人事費執行率 0.638（同年中位 0.843，偏低，第 12 百分位；同儕 34 園）,預收款覆蓋倍數 2.755（同年中位 2.026，偏高，第 91 百分位；同儕 34 園）
N03,龍埔成長,112,1.2051,7,81.8,34,16,0.65,1,行政管理費占收入比 0.008（同年中位 0.016，偏低，第 3 百分位；同儕 34 園）,,,行政管理費占收入比 0.008（同年中位 0.016，偏低，第 3 百分位；同儕 34 園）,人事費執行率 0.633（同年中位 0.843，偏低，第 9 百分位；同儕 34 園）,預收款覆蓋倍數 2.677（同年中位 2.026，偏高，第 85 百分位；同儕 34 園）
