code,short_name,academic_year,kind,feature,label,value,z,percentile,peer_median
N30,文中,111,level,enrolment_utilisation,招收利用率,0.698113,-21.407,3.1,0.9911165
N30,文中,111,level,liability_share,負債占資產比,1.2060810772882626,7.685,96.9,0.8363614671922941
N30,文中,111,level,surplus_margin,本期餘絀率,-0.0785888687936881,-4.837,6.2,0.023286878832222573
N31,翠中,111,level,enrolment_utilisation,招收利用率,0.7,-21.269,6.2,0.9911165
N31,翠中,111,level,liability_share,負債占資產比,1.296212913127912,9.558,100.0,0.8363614671922941
N31,翠中,111,level,surplus_margin,本期餘絀率,-0.09210472972972973,-5.479,3.1,0.023286878832222573
N09,安興,113,level,liability_share,負債占資產比,0.405800621471249,-9.854,5.3,0.8679265700642219
N09,安興,113,level,liquidity,流動比率,2.902365015109949,7.568,97.4,1.4548194416151203
N09,安興,113,level,unbudgeted_share,未編列預算支出占比,1.371439177170833,6.307,100.0,0.4259262245674794
N09,安興,113,change,liability_share,負債占資產比 年變動,-0.4340741934102194,-6.202,2.9,-0.004253444748014479
N09,安興,113,change,liquidity,流動比率 年變動,1.2546341392812064,5.231,97.1,0.1230764853307057
N09,安興,113,change,unbudgeted_share,未編列預算支出占比 年變動,0.5718236079291706,4.655,100.0,0.05920589352174077
N26,新店及人,113,level,liquidity,流動比率,5.735519747794556,22.381,100.0,1.4548194416151203
N26,新店及人,113,level,liability_share,負債占資產比,0.2709094465717347,-12.73,2.6,0.8679265700642219
N26,新店及人,113,level,enrolment_utilisation,招收利用率,0.576923,-9.545,2.6,0.9737865
N26,新店及人,113,change,enrolment_utilisation,招收利用率 年變動,-0.42307700000000004,-15.196,2.9,-0.011814000000000047
N26,新店及人,113,change,liquidity,流動比率 年變動,3.3734823941859453,15.027,100.0,0.1230764853307057
N26,新店及人,113,change,cost_per_child,每生成本 年變動,117428.033333,6.761,100.0,26430.384738000008
N26,新店及人,112,level,liability_share,負債占資產比,0.5286159378112151,-6.541,2.9,0.8708870612773192
N26,新店及人,112,level,prepaid_coverage,預收款覆蓋倍數,3.972778,5.48,100.0,2.026466
N26,新店及人,112,level,surplus_margin,本期餘絀率,0.17771250167852826,5.017,100.0,0.010057057267209894
N26,新店及人,112,change,liability_share,負債占資產比 年變動,-0.128562361041753,-5.248,9.4,0.01710253368345449
N26,新店及人,112,change,staff_ratio,師生比（每師幼兒數） 年變動,-1.2222220000000004,-5.073,15.6,0.0
N26,新店及人,112,change,prepaid_coverage,預收款覆蓋倍數 年變動,0.9088219999999998,5.035,100.0,-0.08096199999999998
N20,柏翠,113,level,liability_share,負債占資產比,0.4671361518751504,-8.546,7.9,0.8679265700642219
N20,柏翠,113,level,liquidity,流動比率,2.7455706516129736,6.749,94.7,1.4548194416151203
N20,柏翠,113,level,prepaid_coverage,預收款覆蓋倍數,4.177378,4.883,100.0,2.2146965
N20,柏翠,113,change,prepaid_coverage,預收款覆蓋倍數 年變動,1.238372,3.0,100.0,0.2649834999999999
N20,柏翠,113,change,liquidity,流動比率 年變動,0.6042652552359757,2.225,91.2,0.1230764853307057
N20,柏翠,113,change,liability_share,負債占資產比 年變動,-0.11235737843151722,-1.56,14.7,-0.004253444748014479
N25,碧城,113,level,liability_share,負債占資產比,0.521957185342975,-7.377,10.5,0.8679265700642219
N25,碧城,113,level,liquidity,流動比率,2.4181962329425333,5.037,92.1,1.4548194416151203
N25,碧城,113,level,unbudgeted_share,未編列預算支出占比,1.030515352453191,4.033,97.4,0.4259262245674794
N25,碧城,113,change,liability_share,負債占資產比 年變動,-0.34109849849399254,-4.86,5.9,-0.004253444748014479
N25,碧城,113,change,liquidity,流動比率 年變動,0.9896829235149907,4.006,94.1,0.1230764853307057
N25,碧城,113,change,unbudgeted_share,未編列預算支出占比 年變動,0.3574494537075864,2.708,97.1,0.05920589352174077
N07,北大,113,level,liability_share,負債占資產比,0.6256893144749419,-5.165,13.2,0.8679265700642219
N07,北大,113,level,personnel_execution,人事費執行率,1.048777,3.664,100.0,0.8737079999999999
N07,北大,113,level,enrolment_utilisation,招收利用率,0.845679,-3.081,5.3,0.9737865
N07,北大,113,change,enrolment_utilisation,招收利用率 年變動,-0.14333200000000001,-4.86,5.9,-0.011814000000000047
N07,北大,113,change,liability_share,負債占資產比 年變動,-0.25719661149968587,-3.65,11.8,-0.004253444748014479
N07,北大,113,change,staff_ratio,師生比（每師幼兒數） 年變動,-2.5294109999999996,-2.416,11.8,-0.8730770000000003
N04,海工,112,level,repair_execution,修繕購置費執行率,1.71244,5.365,97.1,0.9000075000000001
N04,海工,112,level,admin_share,行政管理費占收入比,0.009966749818878472,-3.299,11.8,0.016101454870890788
N04,海工,112,level,personnel_execution,人事費執行率,0.607973,-2.614,5.9,0.84284
N04,海工,112,change,staff_ratio,師生比（每師幼兒數） 年變動,-3.0,-12.452,6.2,0.0
N04,海工,112,change,personnel_execution,人事費執行率 年變動,-0.25385,-2.528,6.2,-0.014261999999999997
N04,海工,112,change,maintenance_execution,維護費執行率 年變動,-0.56299,-2.19,3.1,0.01649450000000005
N33,淡海,112,level,repair_execution,修繕購置費執行率,1.659003,5.012,94.1,0.9000075000000001
N33,淡海,112,level,surplus_margin,本期餘絀率,0.1769541943689684,4.994,97.1,0.010057057267209894
N33,淡海,112,level,enrolment_utilisation,招收利用率,0.934066,-4.746,5.9,0.9976415000000001
N26,新店及人,111,level,surplus_margin,本期餘絀率,0.12900330703909807,5.019,100.0,0.023286878832222573
N26,新店及人,111,level,liability_share,負債占資產比,0.6571782988529681,-3.724,6.2,0.8363614671922941
