code,short_name,academic_year,issue
N01,安溪,110,"現金流量表（N01-9）110.8.1~111.7.31期間之「投資活動之淨現金流入」為「-」（無任何投資活動現金流出），但同期間資產負債表非流動資產之業務發展準備金（+1,099,000）與資遣費準備金（+44,678）均有增加，且附註三(二)敘明此二準備金係「以專戶或定期存款方式儲存」，帳面全額對應專戶餘額。現金流量表營業活動之調整項目也只涵蓋流動資產/負債的淨變動，未見任何科目反映資金撥入這兩個非流動準備金專戶的軌跡。是否為報表結構本身不揭露此類內部資金移轉、或準備金僅為會計提列（尚未實際存入專戶），需人工查核銀行對帳單或專戶存摺佐證。"
N01,安溪,110,"附註三(四)6揭露之其他收入(1,086,345)與其他支出(1,086,035)並非完全相等，差310元；附註逐項說明係「代收代付—代購用品」收入130,978元與支出130,668元之收付時間差所致，屬總額分列（非收支相抵後淨額入帳），與附註二(八)之會計政策相符，非計算或抄錄錯誤，記錄於此供交叉核對。"
N01,安溪,110,收支餘絀表「所得稅費用」預算數與決算數欄位皆印為「-」，兩者均記為 null（非0）。依附註二(一)，非營利幼兒園契約前三學年所得稅費用採實際支付數認列，本學年度顯示未實際發生所得稅支出。
N01,安溪,110,本報告未以獨立「附註三」「附註五」標題編排，note_3對應內容實際位於「三、重要會計項目說明 (四)收支明細表 6.其他收入及其他支出」（N01-19、20），note_5對應內容位於「五、關係人交易」（N01-21）；已依收支餘絀表附註欄標示之「三」「五」代號比對確認對應關係無誤。
N01,安溪,111,p05/p06: 紅色關防 seal overlaps the report headers; resolved by isolating the red channel — headers fully legible (資產負債表 民國112年7月31日及民國111年7月31日; 收支餘絀表 民國111年8月1日至112年7月31日).
N01,安溪,111,"收支餘絀表 prints 本期稅前餘絀 / 所得稅費用 / 本期稅後餘絀 instead of a single 本期餘絀 line; 本期稅後餘絀 決算 649,872 ties exactly to 資產負債表 本期餘絀."
N01,安溪,111,"預算數 is a dash (no budget appropriated) for 教保費收入減項, 延後托育收入淨額, 利息收入, 其他收入, 業務發展費 (決算 1,300,000), 延後托育支出 (202,057), 其他支出 (801,623), 本期稅前餘絀, 所得稅費用, 本期稅後餘絀 — recorded as null, not 0. Unbudgeted 業務發展費 of 1,300,000 is the largest such item."
N01,安溪,111,"執行率 cell is printed empty (not even a dash) for 收入合計, 支出合計, 本期稅前餘絀, 所得稅費用, 本期稅後餘絀 — recorded as null."
N01,安溪,111,"所得稅費用 決算 is a dash (blank), recorded as null, not 0."
N01,安溪,111,note_1 (九) states staffing in two-year form '員工人數分別為18人（含教保人員12人）及12人（含教保人員9人）'; the 112/7/31 (current-year) figures 18 / 12 were taken. Prior year (111/7/31) was 12 / 9.
N01,安溪,111,"note_1 (六) states '核定及實際招收總人數：分別為136名及134名' — 核定 136, 實際 134."
N01,安溪,111,"受託辦理期間 108/8/1–112/7/31 ends on the balance-sheet date, i.e. 111學年度 is the final (4th) contract year."
N01,安溪,112,頁面 provenance：已逐頁核對頁尾代號 N01；資產負債表 N01-5、收支餘絀表 N01-6、現金流量表 N01-9、附註一 N01-10、附註三明細 N01-20 至 N01-21、附註五 N01-21。
N01,安溪,112,"資產負債表算術：24,140,447 = 21,668,829 + 2,471,618；2,471,618 = 2,220,819 + 250,799；流動資產9,740,300與非流動資產14,400,147合計24,140,447。"
N01,安溪,112,"收支餘絀表算術：收入明細決算合計18,995,020；支出明細決算合計18,744,221；差額250,799與本期稅前／稅後餘絀相符。"
N01,安溪,112,列印執行率與重算相符：人事費88%、業務費45%、材料費93%、維護費36%、修繕購置費15%、雜支36%、行政管理費100%。
N01,安溪,112,"現金流量表 N01-9 期末現金及約當現金9,654,314元，與資產負債表現金及銀行存款相符。"
N01,安溪,112,"附註三 N01-20 至 N01-21 的十一筆非重複明細，收入與支出各合計1,344,392元，與表列其他收入／其他支出決算數相符，故 recorded_gross=true。"
N01,安溪,112,"【文件本身不一致，非判讀誤差】收支餘絀表 N01-6 行政管理費決算數為325,932元，附註五 N01-21 對同一受託法人揭露行政管理費324,572元，相差1,360元；已照來源分別轉錄，未調整數字。"
N01,安溪,112,"附註五 N01-21 明示受託法人及其年末『其他應付款』324,572元，故 payable_to_operator 取此關係人專屬揭露；未將資產負債表 N01-5 的一般其他應付款2,063,288元誤作受託法人款。"
N01,安溪,112,空白／破折號皆填null：業務發展費、延長照顧服務支出、其他支出、呆帳損失未列預算；所得稅費用預算與決算均為破折號。
N01,安溪,113,"【文件本身不一致，非判讀誤差】業務發展準備金（資產面，p5 非流動資產）13,699,844 元，低於業務發展準備（負債面，p5 非流動負債）15,899,844 元，相差 2,200,000 元。此差額經 p9 現金流量表『業務發展準備淨變動 2,200,000』獨立證實，係報表內部一致之呈現，非抽取誤差。比較期（113/7/31）兩邊均為 10,479,844 元、完全相符，故 2,200,000 元缺口為本學年度新增。同表其餘配對科目皆相符（資遣費準備金／準備 790,438；代管財產／應付代管財產 2,572,979；購置財產／應付購置財產 170,274）。附註二(四) 明訂資遣費準備金『基金數額應與非流動負債數額相符』，附註二(五) 明訂業務發展準備金『應於同意後一個月內，以專戶或定期存款方式儲存』；附註二(一) 另提及『未提撥足額業務發展準備金衍生之所得稅』。即報表自身顯示 114/7/31 業務發展準備金未提撥足額 2,200,000 元，建議人工查核專戶餘額。"
N01,安溪,113,"【需人工判讀：提列上限與虧損年度限制】業務發展費決算數 5,420,000 元（預算數空白，即未編列預算），是 113 學年度由盈轉虧的唯一原因——扣除該筆後為餘 3,431,229 元，列計後為絀 1,988,771 元。附註二(五) 載明業務發展準備金限『未發生虧損之年度』提列且『至多提列收入總額之百分之二十』。113 學年度收入合計 20,155,978 元之 20% 為 4,031,196 元；112 學年度收入合計 18,995,020 元（p7）之 20% 為 3,799,004 元。無論以本期或前期收入為基礎，5,420,000 元均已超過 20% 上限（分別超出 1,388,804 元及 1,620,996 元）。前一學年度業務發展費為 2,388,000 元，未逾上限。此為報表數字與其自身附註規定之潛在牴觸，建議人工確認主管機關核准提列文件。"
N01,安溪,113,"業務發展準備金之明細附註（附註三）不在本次提供之影像範圍內（僅有印刷頁碼 4–11），故無法就科目明細直接覆核上述 2,200,000 元缺口；改以 p9 現金流量表交叉證實。"
N01,安溪,113,版面變異（非錯誤）：收支餘絀表無單一『本期餘絀』列，而分為『本期稅前餘絀』／『所得稅費用』／『本期稅後餘絀』三列，已照抄未合併。所得稅費用三欄均為破折號，預算數、決算數、差異數皆填 null。
N01,安溪,113,"預算數空白（未編列預算，填 null 未填 0）之科目：支出面為業務發展費、延長照顧服務支出、其他支出；收入面為教保費收入減項、延長照顧服務收入淨額、利息收入、其他收入。其中支出面三項合計決算數 7,347,479 元係在無預算授權下執行，屬稽查關注點。"
N01,安溪,113,"行政管理費預算數與決算數皆為 290,580 元、執行率 100%、差異數為破折號（0），為完全照預算執行；差異數欄之破折號已依規則視為空白，惟其算術值確為 0。"
N02,山北,110,note_1(六)原文為「核定及實際招收總人數：90名」，是合併陳述而非分別列示；approved_capacity 與 actual_enrolment 均依該單一數字填 90（附表一「核准招收人數」欄亦印 90，可互相印證）。
N02,山北,110,"現金流量表（p09）以本期稅前餘絀為起算基礎，調整項目僅列流動資產/負債變動（應收帳款淨額、其他應收款、預付款項、其他流動資產、應付票據、應付帳款、其他應付款、預收款項共8項），並無資遣費準備與業務發展準備之加回項。本期資遣費準備提列45,296元、業務發展準備提列294,400元（合計339,696元，與附註三(二)之本期提列數逐項相符），同時使資產面「資遣費準備金」「業務發展準備金」（非流動資產）等額增加，但現金流量表兩期（110.8.1~111.7.31及比較期109.8.1~110.7.31）之投資活動淨現金流入均列為「-」。若339,696元純屬不涉及現金流出的提存分錄，現金流量表理應將其加回以正確調節現金；若確有現金依附註二(四)(五)規定撥入專戶或定期存款，投資活動應列示對應流出。兩者在報表內部無法互相印證，本抽取僅照抄原表數字，未自行判斷孰是孰非，建議人工覆核資金是否已實際撥入資遣費/業務發展準備專戶（比較期同一現象：資遣費44,165元、業務發展準備1,199,000元，投資活動同樣列「-」，顯示非單一年度個案）。"
