code,short_name,academic_year,available_from,panel_total_assets,panel_total_liabilities,panel_current_assets_total,panel_current_liabilities_total,panel_cash,panel_prepaid_receipts,panel_accumulated_surplus,panel_current_surplus,panel_equity_total,panel_收入合計_決算,panel_支出合計_決算,panel_total_staff,panel_educators,panel_approved_capacity,panel_actual_enrolment,pretax_surplus,cf_receivables,cf_prepaid_receipts,cash_open,cash_close,pay_educators,pay_support,pay_overtime,pay_insurance,pay_pension,pay_welfare,pay_health_check,pay_severance,tuition_gross,tuition_deduction,tuition_net,operating_cost,tuition_net_surplus,development_fee_fn,interest_income,approved_capacity_fn,operating_months,approved_total_fn,bt_人事費_budget,bt_人事費_actual,bt_業務費_budget,bt_業務費_actual,bt_材料費_budget,bt_材料費_actual,bt_維護費_budget,bt_維護費_actual,bt_修繕購置費_budget,bt_修繕購置費_actual,bt_雜支_budget,bt_雜支_actual,bt_行政管理費_budget,bt_行政管理費_actual,n_sections,tuition_per_child_month,cost_per_child_month,tuition_cost_ratio,personnel_detail_total,educator_pay_share,overtime_share,pension_share,cash_change,exec_人事費,exec_業務費,exec_材料費,exec_維護費,exec_修繕購置費,exec_雜支,exec_行政管理費,cf_payables
N01,安溪,110,111/7/31,14735315.0,13164368.0,6087164.0,4519817.0,5803751.0,3078815.0,1352390.0,218557.0,1570947.0,11284869.0,11066312.0,12.0,9.0,90.0,90.0,218557.0,36720.0,440750.0,5348001.0,5803751.0,4321755.0,1193144.0,299088.0,679824.0,330048.0,12000.0,1000.0,44678.0,10069260.0,-76932.0,9992328.0,-8687375.0,1304953.0,-1099000.0,43296.0,90.0,12.0,1080.0,7645622.0,6763467.0,676700.0,300404.0,1401300.0,1245534.0,118000.0,105476.0,126000.0,125696.0,40602.0,22118.0,124680.0,124680.0,4,9252.155555555555,-8043.865740740741,-1.1502125785982533,6881537.0,0.6280217631613403,0.04346238347624957,0.0479613783955532,455750.0,0.884619590139298,0.44392492980641346,0.8888417897666453,0.8938644067796611,0.9975873015873016,0.5447514900743806,1.0,
N01,安溪,111,112/7/31,20469369.0,18248550.0,8984463.0,6767244.0,8824150.0,4798921.0,1570947.0,649872.0,2220819.0,17393407.0,16743535.0,18.0,12.0,136.0,134.0,649872.0,-51242.0,1720106.0,5803751.0,8824150.0,6802112.0,2585737.0,995112.0,1261398.0,534684.0,18000.0,18000.0,74263.0,16337854.0,-110047.0,16227807.0,-14439855.0,1787952.0,-1300000.0,69934.0,136.0,12.0,1632.0,13190571.0,11539967.0,883400.0,401715.0,2049520.0,2084531.0,143000.0,40666.0,190400.0,58005.0,53004.0,21679.0,293292.0,293292.0,4,9943.50919117647,-8847.950367647058,-1.1238206339329584,12289306.0,0.5534984644372921,0.08097381577120791,0.043508071163660504,3020399.0,0.8748648561157815,0.45473737831107086,1.0170825363987666,0.2843776223776224,0.30464810924369745,0.4090068674062335,1.0,
N01,安溪,112,113/7/31,24140447.0,21668829.0,9740300.0,7272282.0,9654314.0,5207452.0,2220819.0,250799.0,2471618.0,18995020.0,18744221.0,18.0,12.0,136.0,134.0,250799.0,34121.0,408531.0,8824150.0,9654314.0,6859945.0,2602747.0,1003968.0,1378722.0,539460.0,18000.0,2000.0,74925.0,17324859.0,-94176.0,17230683.0,-14833193.0,2397490.0,-2388000.0,82077.0,136.0,12.0,1632.0,13414768.0,11797585.0,883400.0,394450.0,2375920.0,2216621.0,143000.0,51581.0,190400.0,28074.0,53004.0,18950.0,325932.0,325932.0,4,10558.016544117647,-9088.966299019608,-1.1616300684552543,12479767.0,0.5496853426830806,0.08044765579357371,0.04322676857668897,830164.0,0.8794475610759724,0.446513470681458,0.9329527088454157,0.3607062937062937,0.14744747899159663,0.35752018715568634,1.0,
N01,安溪,113,114/7/31,26187977.0,25705130.0,8950842.0,6271595.0,8868744.0,4324548.0,2471618.0,-1988771.0,482847.0,20155978.0,22144749.0,18.0,12.0,120.0,118.0,-1988771.0,-2979.0,-882904.0,9654314.0,8868744.0,7019031.0,2646110.0,1025568.0,1408282.0,551028.0,18000.0,18000.0,76532.0,17990000.0,-68050.0,17921950.0,-14797270.0,3124680.0,-5420000.0,211286.0,120.0,12.0,1440.0,13712011.0,11978248.0,809400.0,382209.0,2096400.0,1890864.0,143000.0,106064.0,168000.0,128643.0,48564.0,20662.0,290580.0,290580.0,4,12445.798611111111,-10275.881944444443,-1.2111659785892939,12762551.0,0.5499708483045435,0.08035760248871875,0.04317538084666615,-785570.0,0.873558809134561,0.47221275018532244,0.9019576416714368,0.7417062937062937,0.7657321428571429,0.4254591878757928,1.0,
N02,山北,110,111/7/31,10482506.0,8709318.0,4945771.0,3172583.0,4776291.0,2034803.0,707954.0,1065234.0,1773188.0,12382097.0,11291786.0,13.0,10.0,90.0,90.0,1090311.0,-4599.0,-48218.0,4282870.0,4776291.0,4525538.0,1128439.0,333840.0,696233.0,332784.0,13000.0,1000.0,45296.0,10232397.0,-83589.0,10148808.0,-8789542.0,1359266.0,-294400.0,25283.0,90.0,12.0,1080.0,7774379.0,6971731.0,689200.0,445333.0,1401300.0,1085568.0,118000.0,93029.0,126000.0,50201.0,41352.0,3850.0,125430.0,125430.0,4,9397.044444444446,-8138.464814814815,-1.154645827962367,7076130.0,0.639549866947046,0.047178330528127664,0.047029096412869745,493421.0,0.8967572844081824,0.6461593151479976,0.7746863626632413,0.7883813559322034,0.3984206349206349,0.09310311472238345,1.0,-38042.0
N02,山北,111,112/7/31,12172850.0,9985801.0,6110592.0,3923543.0,5870141.0,2675641.0,1773188.0,413861.0,2187049.0,12701252.0,12287391.0,13.0,10.0,90.0,90.0,,-2451.0,640838.0,4776291.0,5870141.0,4650683.0,1149093.0,342108.0,719094.0,343728.0,13000.0,13000.0,46428.0,10232832.0,-99244.0,10133588.0,-9136912.0,996676.0,-620000.0,37036.0,90.0,12.0,1080.0,7982336.0,7286602.0,689200.0,505083.0,1401300.0,1115609.0,118000.0,52748.0,126000.0,24821.0,41352.0,3120.0,125430.0,125430.0,4,9382.95185185185,-8460.103703703704,-1.1090823683099935,7277134.0,0.6390816769349033,0.047011364638881184,0.047233979750819485,1093850.0,0.9128408024919021,0.732854033662217,0.7961243131378006,0.44701694915254236,0.1969920634920635,0.07544979686593152,1.0,4860.0
N02,山北,112,113/7/31,14224642.0,12386433.0,6167364.0,4329155.0,6143624.0,3035595.0,2187049.0,-348840.0,1838209.0,13850855.0,14199695.0,13.0,10.0,90.0,90.0,-348840.0,-16681.0,359954.0,5870141.0,6143624.0,6081414.0,1355400.0,738192.0,1013688.0,396636.0,13000.0,1000.0,55088.0,12764928.0,-73967.0,12690961.0,-11286703.0,1404258.0,-1833375.0,68971.0,90.0,12.0,1080.0,9854366.0,9157815.0,723700.0,463878.0,1572300.0,1219134.0,118000.0,81966.0,126000.0,107677.0,43422.0,6095.0,229600.0,229600.0,4,11750.889814814815,-10450.650925925926,-1.1244170241743758,9654418.0,0.6299099541784912,0.07646157437972957,0.041083367221100224,273483.0,0.929315493254462,0.6409810695039381,0.775382560580042,0.6946271186440678,0.854579365079365,0.14036663442494587,1.0,102.0
N02,山北,113,114/7/31,16869798.0,14356706.0,6619733.0,4106641.0,6615258.0,2714589.0,1838209.0,674883.0,2513092.0,15866725.0,15191842.0,13.0,10.0,86.0,86.0,674883.0,23731.0,-321006.0,6143624.0,6615258.0,,1377069.0,754728.0,1036362.0,405504.0,13000.0,13000.0,56319.0,14066000.0,-50562.0,14015438.0,-11228210.0,2787228.0,-2204787.0,92442.0,86.0,12.0,1032.0,10081983.0,9040242.0,723700.0,485428.0,1502420.0,1120241.0,118000.0,44629.0,120400.0,288508.0,43422.0,4794.0,222612.0,222612.0,4,13580.8507751938,-10880.048449612403,-1.2482344024559568,3655982.0,,0.20643646494977272,0.11091520691294432,471634.0,0.8966730056973911,0.6707586016305099,0.7456243926465302,0.3782118644067797,2.39624584717608,0.11040486389387869,1.0,6258.0
N03,龍埔成長,110,111/7/31,9229892.0,6935050.0,5685118.0,3397476.0,5594770.0,1980450.0,1527169.0,767673.0,2294842.0,11955951.0,11188278.0,12.0,9.0,90.0,90.0,767673.0,-63151.0,-31933.0,4734132.0,5594770.0,4442664.0,1186961.0,612240.0,695743.0,338472.0,12000.0,4000.0,45682.0,10094201.0,-105823.0,9988378.0,-9124622.0,863756.0,-98000.0,1917.0,90.0,12.0,1080.0,7989599.0,7235004.0,562700.0,413394.0,1401300.0,1126043.0,118000.0,87399.0,126000.0,126641.0,33762.0,18301.0,117840.0,117840.0,4,9248.498148148148,-8448.724074074074,-1.0946621131264396,7337762.0,0.6054521801061413,0.08343688443424575,0.04612741596143347,860638.0,0.9055528318755421,0.7346614537053492,0.8035702561906801,0.7406694915254237,1.0050873015873016,0.5420591197203957,1.0,287547.0
N03,龍埔成長,111,112/7/31,11149432.0,8503490.0,6532802.0,3894060.0,6310506.0,2164292.0,2294842.0,351100.0,2645942.0,12215954.0,11864854.0,12.0,9.0,90.0,89.0,351100.0,-9215.0,183842.0,5594770.0,6310506.0,4546951.0,1207819.0,625920.0,706610.0,343656.0,12000.0,8000.0,46712.0,10081365.0,-90327.0,9991038.0,-8718245.0,1272793.0,-1000000.0,29028.0,90.0,12.0,1080.0,8163410.0,6737493.0,562700.0,419663.0,1401300.0,1198211.0,118000.0,104079.0,126000.0,125945.0,33762.0,15014.0,117840.0,117840.0,4,9250.961111111112,-8072.449074074074,-1.1459918825405802,7497668.0,0.6064486984486376,0.08348195732326372,0.04583505164539161,715736.0,0.8253282635565284,0.7458023813755109,0.8550710054948976,0.8820254237288135,0.999563492063492,0.444701143297198,1.0,64623.0
N03,龍埔成長,112,113/7/31,13476093.0,10579417.0,6441870.0,3552394.0,6426739.0,2400701.0,2645942.0,250734.0,2896676.0,14144106.0,13893372.0,12.0,9.0,90.0,90.0,250734.0,74339.0,236409.0,6310506.0,6426739.0,4651239.0,1228676.0,639840.0,723357.0,352800.0,12000.0,4000.0,47742.0,10090612.0,-70525.0,10020087.0,-7447788.0,2572299.0,-2393000.0,57597.0,90.0,12.0,1080.0,8339301.0,5280926.0,562700.0,480975.0,1401300.0,1350447.0,118000.0,105827.0,126000.0,105781.0,33762.0,5992.0,117840.0,117840.0,4,9277.858333333334,-6896.099999999999,-1.3453775805648602,7659654.0,0.6072387865039335,0.08353379930738386,0.04605952174863251,116233.0,0.6332576315448981,0.854762751021859,0.9637101263112824,0.8968389830508474,0.8395317460317461,0.17747763758071206,1.0,-540061.0
N03,龍埔成長,113,114/7/31,14987068.0,12850465.0,6167351.0,4037948.0,6149763.0,2720064.0,2896676.0,-760073.0,2136603.0,12844402.0,13604475.0,12.0,9.0,72.0,71.0,,6000.0,319363.0,6426739.0,6149763.0,5781781.0,1439870.0,716832.0,984364.0,385152.0,12000.0,1000.0,53494.0,11931000.0,-306130.0,11624870.0,-10770720.0,854150.0,-1699800.0,85197.0,72.0,12.0,864.0,9548493.0,8710840.0,562700.0,498463.0,1257840.0,1183148.0,118000.0,98854.0,100800.0,91690.0,33762.0,5671.0,182054.0,182054.0,4,13454.710648148148,-12466.111111111111,-1.079302962104669,9374493.0,0.6167566608668863,0.07646621529292304,0.041085101882309794,-276976.0,0.9122738006929471,0.8858414785853919,0.9406188386440246,0.8377457627118644,0.9096230158730159,0.16796990699603104,1.0,31596.0
N04,海工,110,111/7/31,5285338.0,4122934.0,2593148.0,1430744.0,2575148.0,1208580.0,789323.0,373081.0,1162404.0,7163219.0,6790138.0,7.0,5.0,60.0,60.0,373081.0,221460.0,105000.0,1803908.0,2575148.0,2563245.0,832222.0,343896.0,407864.0,188352.0,7000.0,1000.0,25667.0,6210921.0,-47772.0,6163149.0,-5478630.0,684519.0,-336000.0,11066.0,60.0,12.0,720.0,4548105.0,3798440.0,566000.0,356834.0,934200.0,956833.0,93000.0,70282.0,84000.0,195741.0,33960.0,10488.0,90012.0,90012.0,4,8559.929166666667,-7609.208333333333,-1.124943462142908,4369246.0,0.5866561415859853,0.0787083171787535,0.0431085821214919,771240.0,0.8351698124823416,0.6304487632508834,1.024227146221366,0.7557204301075269,2.33025,0.3088339222614841,1.0,49110.0
N04,海工,111,112/7/31,5928185.0,4680479.0,2758013.0,1510307.0,2706430.0,1280861.0,1162404.0,85302.0,1247706.0,7765295.0,7679993.0,6.0,4.0,60.0,60.0,85302.0,-33583.0,72281.0,2575148.0,2706430.0,,846125.0,352212.0,419532.0,193536.0,7000.0,7000.0,26285.0,6214320.0,-33835.0,6180485.0,-5801001.0,380484.0,-480000.0,32860.0,60.0,12.0,720.0,4663319.0,4018956.0,566000.0,375935.0,934200.0,1040430.0,93000.0,85436.0,84000.0,166999.0,33960.0,22233.0,90012.0,90012.0,4,8584.006944444443,-8056.945833333334,-1.0654169857926243,1851690.0,,0.19021110445052897,0.1045185749234483,131282.0,0.8618230920938499,0.6641961130742049,1.1137122671804753,0.9186666666666666,1.9880833333333334,0.6546819787985866,1.0,64412.0
N04,海工,112,113/7/31,7790743.0,6220812.0,3271040.0,1701109.0,3226040.0,1488338.0,1247706.0,322225.0,1569931.0,9031229.0,8709004.0,7.0,5.0,60.0,60.0,322225.0,51583.0,207477.0,2706430.0,3226040.0,2702295.0,860031.0,360528.0,431884.0,200160.0,7000.0,1000.0,26903.0,6202211.0,-37864.0,6164347.0,-4655946.0,1508401.0,-1300000.0,55146.0,60.0,12.0,720.0,4768660.0,2899218.0,566000.0,384913.0,934200.0,1098507.0,93000.0,33078.0,84000.0,143845.0,33960.0,6373.0,90012.0,90012.0,4,8561.593055555555,-6466.591666666667,-1.3239730443609097,4589801.0,0.5887608199135431,0.07854981076521618,0.04360973384249121,519610.0,0.6079733090637621,0.6800583038869258,1.1758798972382787,0.3556774193548387,1.7124404761904761,0.18766195524146054,1.0,-125922.0
N04,海工,113,114/7/31,9032432.0,7982569.0,3309865.0,2260002.0,3294879.0,1641672.0,1569931.0,-520068.0,1049863.0,8351127.0,8871195.0,7.0,5.0,48.0,48.0,-520068.0,,153334.0,3226040.0,3294879.0,2771820.0,1016389.0,429408.0,589647.0,230712.0,7000.0,1000.0,32043.0,7608000.0,-238368.0,7369632.0,-6761395.0,608237.0,-1170000.0,41695.0,48.0,12.0,576.0,5682706.0,5072224.0,546000.0,391984.0,838560.0,862438.0,93000.0,49846.0,67200.0,234047.0,32760.0,12400.0,138456.0,138456.0,4,12794.5,-11738.532986111111,-1.0899573238954388,5078019.0,0.5458467169973172,0.08456210975185402,0.045433465294241714,68839.0,0.8925719542767125,0.7179194139194139,1.0284750047700821,0.5359784946236559,3.482842261904762,0.3785103785103785,1.0,
N05,漢翔,110,111/7/31,12286520.0,10703714.0,4605175.0,3037369.0,4227113.0,2010759.0,790799.0,792007.0,1582806.0,11841923.0,11009882.0,11.0,8.0,76.0,76.0,832041.0,-405.0,-182584.0,4005885.0,4227113.0,3693101.0,1210114.0,535260.0,610951.0,293040.0,11000.0,11000.0,39941.0,9030884.0,-37992.0,8992892.0,-7484517.0,1508375.0,-766300.0,3836.0,76.0,12.0,912.0,7006576.0,5862148.0,694700.0,373048.0,1183320.0,907619.0,118000.0,82394.0,106400.0,111654.0,41682.0,34973.0,112681.0,112681.0,4,9860.627192982456,-8206.707236842105,-1.2015327107948315,6404407.0,0.5766499536959472,0.08357682452099,0.04575599270939527,221228.0,0.8366637284745074,0.5369915071253779,0.7670106142041037,0.6982542372881356,1.0493796992481204,0.8390432320905906,1.0,-26043.0
N05,漢翔,111,112/7/31,12882843.0,11193386.0,5152130.0,3477673.0,4718448.0,2088983.0,1582806.0,106651.0,1689457.0,11976524.0,11869873.0,11.0,8.0,76.0,76.0,106651.0,675.0,78224.0,4227113.0,4718448.0,3790436.0,1230971.0,548328.0,632579.0,303768.0,11000.0,1000.0,40920.0,9024121.0,-41192.0,8982929.0,-8252663.0,730266.0,-744800.0,39517.0,76.0,12.0,912.0,7175076.0,6412661.0,694700.0,412723.0,1183320.0,1086820.0,118000.0,147265.0,106400.0,46170.0,41682.0,34343.0,112681.0,112681.0,4,9849.702850877193,-9048.972587719298,-1.088488527884878,6559002.0,0.5778982839157543,0.08359930367455293,0.046313143371506826,491335.0,0.8937411952152144,0.5941024902835756,0.9184497853496941,1.2480084745762712,0.43392857142857144,0.823928794203733,1.0,4661.0
N05,漢翔,112,113/7/31,14672741.0,12715208.0,5253472.0,3310939.0,5236308.0,2195398.0,1689457.0,268076.0,1957533.0,12921591.0,12653515.0,11.0,8.0,76.0,76.0,268076.0,-742.0,106415.0,4718448.0,5236308.0,3887771.0,1251829.0,561396.0,644764.0,309816.0,11000.0,11000.0,41898.0,9017887.0,-65227.0,8952660.0,-6973272.0,1979388.0,-1782519.0,71207.0,76.0,12.0,912.0,7349453.0,5032018.0,694700.0,421276.0,1183320.0,1180578.0,118000.0,88595.0,106400.0,111709.0,41682.0,26415.0,112681.0,112681.0,4,9816.513157894737,-7646.131578947369,-1.283853548233885,6719474.0,0.5785826390577595,0.08354761101836244,0.046107180413228775,517860.0,0.6846792543608348,0.6064142795451274,0.9976827907920089,0.7508050847457627,1.0498966165413535,0.6337267885418166,1.0,89602.0
N05,漢翔,113,114/7/31,19443325.0,15878947.0,6973753.0,3424375.0,6877439.0,2468856.0,1957533.0,1606845.0,3564378.0,13204495.0,11597650.0,8.0,7.0,72.0,72.0,1606845.0,742.0,273458.0,5236308.0,6877439.0,5223894.0,1409792.0,658416.0,904221.0,353796.0,11000.0,1000.0,49138.0,12232000.0,-260968.0,11971032.0,-7894669.0,4076363.0,-2575405.0,105887.0,72.0,12.0,864.0,8784257.0,6363884.0,719700.0,298788.0,1257840.0,811922.0,118000.0,127280.0,100800.0,55784.0,43182.0,39257.0,197754.0,197754.0,4,13855.361111111111,-9137.34837962963,-1.5163437504472954,8611257.0,0.6066354772595918,0.076459917524236,0.041085291032424184,1641131.0,0.7244646872239735,0.4151563151313047,0.6454890924123895,1.0786440677966103,0.5534126984126985,0.9091056458709648,1.0,-95945.0
