code,short_name,academic_year,iso_score,n_sections
N29,東湖,113,0.6039120552873609,4
N29,東湖,112,0.6022217447937048,4
N15,新月,113,0.595186250434829,4
N20,柏翠,113,0.5661103445098424,4
N38,崁頂,113,0.5523027462751552,4
N29,東湖,111,0.5414620584492355,4
N28,新樂,113,0.5402329106868196,4
N20,柏翠,112,0.53817921615921,4
N07,北大,113,0.5316912406325245,4
N09,安興,113,0.5291696580673635,4
N33,淡海,112,0.5208426005931364,4
N31,翠中,111,0.5201495511443894,4
N04,海工,111,0.5186529788343267,4
N28,新樂,111,0.5147694253428723,4
N15,新月,110,0.5106370895939837,4
N15,新月,112,0.5093396113446648,4
N33,淡海,113,0.5083704589302039,4
N30,文中,111,0.5040930997369667,4
N28,新樂,112,0.5036501913596888,4
N04,海工,112,0.5034669453325955,4
N04,海工,110,0.5020362693937612,4
N04,海工,113,0.5003489315696846,4
N28,新樂,110,0.49066585498850285,4
N01,安溪,113,0.4878947739818315,4
N20,柏翠,111,0.48769127150976344,4
N35,桃子腳,113,0.48763827666080944,4
N32,板橋員工子女,113,0.4818707050028325,4
N09,安興,112,0.4816555412709975,4
N15,新月,111,0.48104273193498936,4
N17,中正,110,0.47678731923522294,4
N07,北大,111,0.4746140487637022,4
N09,安興,110,0.47075463066203194,4
N20,柏翠,110,0.4669011814285022,4
N07,北大,112,0.46577522602709925,3
N09,安興,111,0.4649948940900484,4
N36,明德,113,0.4620650785214998,4
N14,積穗,113,0.4607504075224282,4
N32,板橋員工子女,111,0.458115567247772,4
N05,漢翔,113,0.4570246674955304,4
N32,板橋員工子女,112,0.4547919113428865,4
N37,清水高中,113,0.4527679759744005,4
N26,新店及人,113,0.45190901791757615,4
N07,北大,110,0.4508266980995464,3
N02,山北,113,0.4456089700653458,4
N25,碧城,113,0.4397927807846747,4
N01,安溪,112,0.4357580547734879,4
N11,新林,110,0.43361458090122856,4
N17,中正,111,0.4317844337164989,4
N01,安溪,111,0.42883533385179373,4
N10,大觀,110,0.4287185817493758,4
N26,新店及人,112,0.4265428449729029,4
N19,中園,112,0.4261050560375629,4
N19,中園,110,0.4246875406383058,4
N19,中園,113,0.4229079584300814,4
N11,新林,113,0.4212490653545938,4
N03,龍埔成長,113,0.4209984799094327,4
N22,文仁,112,0.41794396000650696,4
N11,新林,112,0.41552655157854823,3
N34,佳和,113,0.4143424191702672,4
N12,昌福,110,0.4138265939177748,4
N31,翠中,112,0.41340799848169685,4
N16,中平,112,0.41138722078047674,4
N08,鷺江,110,0.41051335636675795,4
N24,佳林,113,0.4090171226194564,4
N12,昌福,113,0.40510239933986725,4
N19,中園,111,0.40509903940786796,4
N17,中正,113,0.40483806882785206,4
N16,中平,110,0.40264605921492563,4
N11,新林,111,0.40250380016812104,4
N17,中正,112,0.4023973185554585,4
N23,菁湖,110,0.40231792774299596,4
N27,育平,110,0.4015301819852241,4
N22,文仁,113,0.4010484806156921,4
N23,菁湖,112,0.40026955998454916,4
N24,佳林,110,0.39960224864101895,4
N21,文創,113,0.3976900028059839,4
N13,三多,111,0.3973760604693934,4
N05,漢翔,110,0.3973078087708181,4
N25,碧城,110,0.3950708964843767,4
N05,漢翔,111,0.3945390692533279,4
N03,龍埔成長,112,0.3934856128249171,4
N13,三多,110,0.39276098422756917,4
N05,漢翔,112,0.3923889740427279,4
N34,佳和,112,0.3906720115681886,4
N26,新店及人,110,0.3888922933110588,3
N18,福營,110,0.3885213995157706,4
N21,文創,110,0.3878652754682962,4
N24,佳林,112,0.38760743799576836,4
N08,鷺江,113,0.38697791032093676,4
N31,翠中,113,0.38596001103668715,4
N16,中平,113,0.38583546555409504,4
N10,大觀,113,0.3840362464288811,4
N22,文仁,111,0.38387014770785644,4
N22,文仁,110,0.3836151224219613,4
N30,文中,112,0.38243438101004634,4
N18,福營,112,0.38240896663238355,4
N14,積穗,110,0.382066145837612,4
N27,育平,113,0.38184625796288113,4
N10,大觀,112,0.38158599035025115,4
N21,文創,112,0.38028683697180793,4
N23,菁湖,113,0.38021426699034544,4
N26,新店及人,111,0.38015909936179526,4
N23,菁湖,111,0.37966390378141146,4
N13,三多,113,0.3793166563873942,4
N27,育平,112,0.3782759054427956,4
N02,山北,110,0.37636603166636323,4
N02,山北,111,0.3759590990776081,4
N21,文創,111,0.3757055960886576,3
N18,福營,113,0.3755870727675758,4
N30,文中,113,0.3754460874236332,4
N12,昌福,112,0.37499865559516327,4
N25,碧城,111,0.37490025345013495,4
N06,昌平,110,0.3746199559209467,4
N24,佳林,111,0.3736071861801731,4
N02,山北,112,0.37354084009471356,4
N25,碧城,112,0.37257038123953634,4
N08,鷺江,112,0.37091782699784137,4
N10,大觀,111,0.37077343795562173,4
N14,積穗,112,0.36959379818014204,4
N27,育平,111,0.3693637135733604,4
N06,昌平,113,0.36882863588488274,4
N03,龍埔成長,110,0.3683920607689354,4
N01,安溪,110,0.36834104395872863,4
N16,中平,111,0.3657331958064033,4
N13,三多,112,0.3639888945845845,4
N12,昌福,111,0.36301009355611885,4
N18,福營,111,0.3622821318555264,4
N03,龍埔成長,111,0.3608321814257407,4
N14,積穗,111,0.36008676991669186,4
N06,昌平,112,0.3590611391048135,4
N08,鷺江,111,0.3574152782504437,4
N06,昌平,111,0.3547689610767873,4
