code,short_name,academic_year,pdf_page,page_kind,table_index,section,table_title,context_heading,period_index,period_label,item_label,note_ref,value,percent
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,現金及銀行存款,二、三,5803751,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,現金及銀行存款,二、三,39,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,現金及銀行存款,二、三,5348001,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,現金及銀行存款,二、三,41,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,應收帳款淨額,,17797,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,應收帳款淨額,,54517,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,其他應收款,,456,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,預付款項,,240587,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,預付款項,,2,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,預付款項,,145580,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,預付款項,,1,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,其他流動資產,,25029,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,其他流動資產,,22313,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,流動資產合計,,6087164,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,流動資產合計,,41,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,流動資產合計,,5570867,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,流動資產合計,,42,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,資遺費準備金,二、三,564718,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,資遺費準備金,二、三,4,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,資遺費準備金,二、三,520040,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,資遺費準備金,二、三,4,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,業務發展準備金,二、三,6791844,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,業務發展準備金,二、三,46,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,業務發展準備金,二、三,5692844,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,業務發展準備金,二、三,43,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,代管財產,二、三,1119608,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,代管財產,二、三,8,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,代管財產,二、三,1268577,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,代管財產,二、三,10,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,購置財產,二、三,168381,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,購置財產,二、三,1,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,購置財產,二、三,110980,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,購置財產,二、三,1,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,存出保證金,,3600,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,存出保證金,,3600,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,非流動資產合計,,8648151,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,非流動資產合計,,59,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,非流動資產合計,,7596041,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,非流動資產合計,,58,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,資產總計,,14735315,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,資產總計,,100,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,資產總計,,13166908,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,資產總計,,100,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,應付票據,,17087,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,其他應付款,五,1423915,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,其他應付款,五,10,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,其他應付款,五,1584012,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,其他應付款,五,12,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,預收款項,,3078815,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,預收款項,,21,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,預收款項,,2638065,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,預收款項,,20,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,流動負債合計,,4519817,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,流動負債合計,,31,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,流動負債合計,,4222077,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,流動負債合計,,32,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,資遺費準備,二、三,564718,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,1,111年7月31日%,資遺費準備,二、三,4,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,2,110年7月31日金額,資遺費準備,二、三,520040,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,3,110年7月31日%,資遺費準備,二、三,4,
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,0,111年7月31日金額,業務發展準備,二、三,6791844,
