code,short_name,academic_year,pdf_page,page_kind,table_index,section,title,context_heading,n_columns,n_rows,n_valued_rows,aligned
N01,安溪,110,5,balance_sheet,1,balance_sheet,資產負債表,,4,32,27,True
N01,安溪,110,6,income_statement,1,unrouted,收支結餘表,,4,23,20,True
N01,安溪,110,7,income_statement,1,income_statement,收支餘絀表,,4,22,19,True
N01,安溪,110,8,equity_change,1,equity_change,淨值變動表,,3,7,7,True
N01,安溪,110,9,cash_flow,1,cash_flow,現金流量表,,2,19,12,True
N01,安溪,110,14,note,1,cash_detail,,（一）現金及銀行存款,2,4,4,True
N01,安溪,110,14,note,2,severance_reserve,,1. 資遣費準備,2,3,3,True
N01,安溪,110,14,note,3,severance_reserve,,1. 資遣費準備,2,1,1,True
N01,安溪,110,14,note,4,development_reserve,,2. 業務發展準備,2,3,3,True
N01,安溪,110,14,note,5,development_reserve,,2. 業務發展準備,2,1,1,True
N01,安溪,110,15,note,1,property,,(三）營運資產 1. 代管財產,4,1,1,True
N01,安溪,110,15,note,2,property,,(三）營運資產 1. 代管財產,4,1,1,True
N01,安溪,110,15,note,3,property,,(三）營運資產 2. 購置財產,4,1,1,True
N01,安溪,110,15,note,4,property,,(三）營運資產 2. 購置財產,4,1,1,True
N01,安溪,110,15,note,5,unrouted,,(四）收支明細表 1. 教保費收入,2,10,8,True
N01,安溪,110,16,detail_schedule,1,personnel_detail,,2. 人事費,4,12,12,True
N01,安溪,110,16,detail_schedule,2,personnel_detail,,2. 人事費,4,12,12,True
N01,安溪,110,17,detail_schedule,1,operating_detail,,3. 業務費,4,16,16,True
N01,安溪,110,17,detail_schedule,2,operating_detail,,3. 業務費,4,16,16,True
N01,安溪,110,18,detail_schedule,1,material_detail,,4. 材料費,4,5,5,True
N01,安溪,110,18,detail_schedule,2,material_detail,,4. 材料費,4,5,5,True
N01,安溪,110,18,detail_schedule,3,maintenance_detail,,5. 維護費,4,4,4,True
N01,安溪,110,19,note,1,maintenance_detail,,維護費及修繕費明細,4,4,4,True
N01,安溪,110,19,note,2,other_income_expense,,6.  其他收入及其他支出,3,4,4,True
N01,安溪,110,19,note,3,other_income_expense,,6.  其他收入及其他支出,3,4,4,True
N01,安溪,110,19,note,4,project_subsidy,,(1)  專案補助收入及支出,3,8,8,True
N01,安溪,110,20,detail_schedule,1,unrouted,,,3,7,7,True
N01,安溪,110,20,detail_schedule,2,agency_subsidy,,(2)  代收補助收入及支出,3,3,3,True
N01,安溪,110,20,detail_schedule,3,agency_subsidy,,(2)  代收補助收入及支出,3,3,3,True
N01,安溪,110,20,detail_schedule,4,agency_passthrough,,(3)  代收代付收入及支出,3,3,3,True
N01,安溪,110,20,detail_schedule,5,agency_passthrough,,(3)  代收代付收入及支出,3,3,3,True
N01,安溪,110,21,note,1,surplus_execution,賸餘款執行概況表,,1,5,5,True
N01,安溪,110,21,note,2,admin_fee,行政管理費,,2,1,1,True
N01,安溪,110,21,note,3,payables,其他應付款,,2,1,1,True
N01,安溪,110,23,income_statement,1,income_by_function,收支餘絀表－功能別,附表一：收支餘絀表-功能別,1,18,16,True
N01,安溪,110,23,income_statement,2,income_by_function,,附表一：收支餘絀表-功能別,2,4,4,True
N01,安溪,110,24,detail_schedule,1,budget_transfer,經費流用及勻支檢查表,附表二：經費流用及勻支檢查表,5,30,30,True
N01,安溪,110,25,detail_schedule,1,multiyear_compare,各學年收支預決算比較表,附表三：各學年收支預決算比較表,12,30,30,True
N01,安溪,110,26,detail_schedule,1,unrouted,,,12,33,32,True
N01,安溪,110,27,property_list,1,property,財產清冊,,1,25,0,True
N01,安溪,110,28,property_list,1,unrouted,,,5,33,33,True
N01,安溪,110,29,property_list,1,property,購置財產,,7,9,9,True
N01,安溪,110,30,auditor_report,1,auditor_checklist,附表六：會計師查核附表,,3,22,19,True
N01,安溪,110,31,other,1,unrouted,,,3,26,26,True
N01,安溪,110,32,other,1,unrouted,,,3,13,13,True
N01,安溪,110,33,auditor_report,1,auditor_checklist,查核項目,,3,9,9,True
N01,安溪,110,34,auditor_report,1,unrouted,,,3,4,4,True
N01,安溪,110,35,detail_schedule,1,performance_review,110學年度績效考評,,1,13,2,True
N01,安溪,110,36,auditor_report,1,unrouted,考評指標評分表,,1,5,4,True
N01,安溪,111,8,equity_change,1,equity_change,淨值變動表,,3,7,7,True
N01,安溪,111,9,cash_flow,1,cash_flow,現金流量表,,2,19,12,True
N01,安溪,111,14,note,1,cash_detail,,(一) 現金及銀行存款,2,4,4,True
N01,安溪,111,14,note,2,severance_reserve,,1. 資遣費準備,2,3,3,True
N01,安溪,111,14,note,3,severance_reserve,,1. 資遣費準備,2,1,1,True
N01,安溪,111,14,note,4,development_reserve,,2. 業務發展準備,2,3,3,True
N01,安溪,111,15,note,1,development_reserve,,業務發展準備金,2,1,1,True
N01,安溪,111,15,note,2,property,,1. 代管財產,4,1,1,True
N01,安溪,111,15,note,3,property,,1. 代管財產,4,1,1,True
N01,安溪,111,15,note,4,property,,2. 購置財產,4,1,1,True
N01,安溪,111,15,note,5,property,,2. 購置財產,4,1,1,True
N01,安溪,111,15,note,6,unrouted,,1. 教保費收入,2,10,8,True
N01,安溪,111,16,detail_schedule,1,personnel_detail,,2. 人事費,4,12,12,True
N01,安溪,111,16,detail_schedule,2,personnel_detail,,2. 人事費,4,12,12,True
N01,安溪,111,17,detail_schedule,1,operating_detail,,3. 業務費,4,16,16,True
N01,安溪,111,17,detail_schedule,2,operating_detail,,3. 業務費,4,16,16,True
N01,安溪,111,18,detail_schedule,1,material_detail,,4. 材料費,4,5,5,True
N01,安溪,111,18,detail_schedule,2,material_detail,,4. 材料費,4,5,5,True
N01,安溪,111,18,detail_schedule,3,maintenance_detail,,5. 維護費,4,4,4,True
N01,安溪,111,19,note,1,maintenance_detail,,維護費及修繕購置費,4,4,4,True
N01,安溪,111,19,note,2,other_income_expense,,6. 其他收入及其他支出,3,4,4,True
N01,安溪,111,19,note,3,other_income_expense,,6. 其他收入及其他支出,3,4,4,True
N01,安溪,111,19,note,4,project_subsidy,,(1) 專案補助收入及支出,3,9,9,True
N01,安溪,111,23,detail_schedule,1,income_by_function,收支餘絀表－功能別,附表一：收支餘絀表-功能別,1,18,15,True
N01,安溪,111,23,detail_schedule,2,income_by_function,,附表一：收支餘絀表-功能別,2,4,3,True
N01,安溪,111,24,detail_schedule,1,budget_transfer,經費流用及勻支檢查表,附表二：經費流用及勻支檢查表,4,30,30,True
