code,short_name,academic_year,balance_sheet_date,income_period,operator,contract_period,approved_capacity,actual_enrolment,total_staff,educators,cash,prepaid_receipts,current_assets_total,current_liabilities_total,reserve_asset,reserve_liability,severance_asset,severance_liability,accumulated_surplus,current_surplus,equity_total,total_assets,total_liabilities,人事費_預算,人事費_決算,業務費_預算,業務費_決算,材料費_預算,材料費_決算,維護費_預算,維護費_決算,修繕購置費_預算,修繕購置費_決算,雜支_預算,雜支_決算,行政管理費_預算,行政管理費_決算,業務發展費_預算,業務發展費_決算,支出合計_決算,收入合計_決算,prepaid_coverage,reserve_funding_gap,equity_erosion,maintenance_execution,repair_execution,personnel_execution,admin_fee_execution,related_party_priority,enrolment_utilisation,staff_ratio,cost_per_child,unbudgeted_spend,identity_passed,identity_failed,n_issues
N01,安溪,110,111年7月31日,110.8.1~111.7.31,社團法人桃園市教保服務人員協會,108年8月1日至112年7月31日,90,90,12,9,5803751,3078815,6087164,4519817,6791844,6791844,564718,564718,1352390,218557,1570947,14735315,13164368,7645622,6763467,676700,300404,1401300,1245534,118000,105476,126000,125696,40602,22118,124680,124680,,1099000,11066312,11284869,1.88506,0,0.161608,0.893864,0.997587,0.88462,1.0,0.224402,1.0,10.0,122959.022222,3594546,9,0,4
N01,安溪,111,112年7月31日,111.8.1~112.7.31,社團法人桃園市教保服務人員協會,108年8月1日至112年7月31日,136,134,18,12,8824150,4798921,8984463,6767244,8091844,8091844,638981,638981,1570947,649872,2220819,20469369,18248550,13190571,11539967,883400,401715,2049520,2084531,143000,40666,190400,58005,53004,21679,293292,293292,,1300000,16743535,17393407,1.838778,0,0.413682,0.284378,0.304648,0.874865,1.0,0.442547,0.985294,11.166667,124951.753731,3359233,9,0,8
N01,安溪,112,民國113年7月31日,民國112年8月1日至113年7月31日,社團法人桃園市教保服務人員協會,112年8月1日至116年7月31日,136,134,18,12,9654314,5207452,9740300,7272282,10479844,10479844,713906,713906,2220819,250799,2471618,24140447,21668829,13414768,11797585,883400,394450,2375920,2216621,143000,51581,190400,28074,53004,18950,325932,325932,,2388000,18744221,18995020,1.853942,0,0.112931,0.360706,0.147447,0.879448,1.0,0.479235,0.985294,11.166667,139882.246269,5581189,9,0,9
N01,安溪,113,民國114年7月31日,民國113年8月1日至114年7月31日,社團法人桃園市教保服務人員協會,112年8月1日至116年7月31日,120,118,18,12,8868744,4324548,8950842,6271595,13699844,15899844,790438,790438,2471618,-1988771,482847,26187977,25705130,13712011,11978248,809400,382209,2096400,1890864,143000,106064,168000,128643,48564,20662,290580,290580,,5420000,22144749,20155978,2.050791,2200000,-0.804643,0.741706,0.765732,0.873559,1.0,0.303229,0.983333,9.833333,187667.364407,9513457,9,0,6
N02,山北,110,111年7月31日,110.8.1~111.7.31,財團法人三之三生命教育基金會,108年8月1日至112年7月31日,90,90,13,10,4776291,2034803,4945771,3172583,4456723,4456723,256056,256056,707954,1065234,1773188,10482506,8709318,7774379,6971731,689200,445333,1401300,1085568,118000,93029,126000,50201,41352,3850,125430,125430,,294400,11291786,12382097,2.347299,0,1.504666,0.788381,0.398421,0.896757,1.0,0.400415,1.0,9.0,125464.288889,4677021,9,0,2
N02,山北,111,112年7月31日,111.8.1~112.7.31,財團法人三之三生命教育基金會,108年8月1日至112年7月31日,90,90,13,10,5870141,2675641,6110592,3923543,5076723,5076723,302484,302484,1773188,413861,2187049,12172850,9985801,7982336,7286602,689200,505083,1401300,1115609,118000,52748,126000,24821,41352,3120,125430,125430,,620000,12287391,12701252,2.19392,0,0.233399,0.447017,0.196992,0.912841,1.0,0.47312,1.0,9.0,136526.566667,5618899,9,0,7
N02,山北,112,113年7月31日,112.8.1~113.7.31,財團法人三之三生命教育基金會,112年8月1日至116年7月31日,90,90,13,10,6143624,3035595,6167364,4329155,6910098,6910098,357572,357572,2187049,-348840,1838209,14224642,12386433,9854366,9157815,723700,463878,1572300,1219134,118000,81966,126000,107677,43422,6095,229600,229600,,1833375,14199695,13850855,2.023862,0,-0.159503,0.694627,0.854579,0.929315,1.0,0.327458,1.0,9.0,157774.388889,3998919,9,0,8
N02,山北,113,114年7月31日,民國113年8月1日至114年7月31日,財團法人三之三生命教育基金會,112年8月1日至116年7月31日,86,86,13,10,6615258,2714589,6619733,4106641,9114885,9114885,413891,413891,1838209,674883,2513092,16869798,14356706,10081983,9040242,723700,485428,1502420,1120241,118000,44629,120400,288508,43422,4794,222612,222612,,2204787,15191842,15866725,2.436928,0,0.367142,0.378212,2.396246,0.896673,1.0,0.13368,1.0,8.6,176649.325581,5764357,9,0,9
N03,龍埔成長,110,民國111年7月31日,民國110年8月1日至111年7月31日 (110.8.1~111.7.31),財團法人成長文教基金會,109年8月1日至113年7月31日,90,90,12,9,5594770,1980450,5685118,3397476,2536501,2536501,280189,280189,1527169,767673,2294842,9229892,6935050,7989599,7235004,562700,413394,1401300,1126043,118000,87399,126000,126641,33762,18301,117840,117840,,98000,11188278,11955951,2.824999,0,0.502677,0.740669,1.005087,0.905553,1.0,0.2114,1.0,10.0,124314.2,3925406,9,0,2
N03,龍埔成長,111,民國112年7月31日,民國111年8月1日至112年7月31日 (111.8.1~112.7.31),財團法人成長文教基金會,109年8月1日至113年7月31日,90,89,12,9,6310506,2164292,6532802,3894060,3536501,3536501,326901,326901,2294842,351100,2645942,11149432,8503490,8163410,6737493,562700,419663,1401300,1198211,118000,104079,126000,125945,33762,15014,117840,117840,,1000000,11864854,12215954,2.915737,0,0.152995,0.882025,0.999563,0.825328,1.0,0.207918,0.988889,9.888889,133312.966292,5281198,9,0,2
N03,龍埔成長,112,民國113年7月31日,民國112年8月1日至113年7月31日 (112.8.1~113.7.31),財團法人成長文教基金會,109年8月1日至113年7月31日,90,90,12,9,6426739,2400701,6441870,3552394,5929501,5929501,374643,374643,2645942,250734,2896676,13476093,10579417,8339301,5280926,562700,480975,1401300,1350447,118000,105827,126000,105781,33762,5992,117840,117840,,2393000,13893372,14144106,2.677026,0,0.094762,0.896839,0.839532,0.633258,1.0,0.272404,1.0,10.0,154370.8,10499078,9,0,9
N03,龍埔成長,113,民國114年7月31日,民國113年8月1日至114年7月31日 (113.8.1~114.7.31),財團法人成長文教基金會,113年8月1日至117年7月31日,72,71,12,9,6149763,2720064,6167351,4037948,7629301,7629301,428137,428137,2896676,-760073,2136603,14987068,12850465,9548493,8710840,562700,498463,1257840,1183148,118000,98854,100800,91690,33762,5671,182054,182054,,1699800,13604475,12844402,2.260889,0,-0.262395,0.837746,0.909623,0.912274,1.0,0.224321,0.986111,7.888889,191612.323944,3747157,9,0,13
N04,海工,110,111年7月31日,110.8.1~111.7.31,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,60,60,7,5,2575148,1208580,2593148,1430744,2074000,2074000,113473,113473,789323,373081,1162404,5285338,4122934,4548105,3798440,566000,356834,934200,956833,93000,70282,84000,195741,33960,10488,90012,90012,,336000,6790138,7163219,2.130722,0,0.472659,0.75572,2.33025,0.83517,1.0,0.019225,1.0,12.0,113168.966667,2263806,9,0,3
N04,海工,111,112年7月31日,111.8.1~112.7.31,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,60,60,6,4,2706430,1280861,2758013,1510307,2554000,2554000,139758,139758,1162404,85302,1247706,5928185,4680479,4663319,4018956,566000,375935,934200,1040430,93000,85436,84000,166999,33960,22233,90012,90012,,480000,7679993,7765295,2.112977,0,0.073384,0.918667,1.988083,0.861823,1.0,-0.033527,1.0,15.0,127999.883333,3430967,9,0,6
N04,海工,112,113年7月31日,112.8.1~113.7.31,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,60,60,7,5,3226040,1488338,3271040,1701109,3854000,3854000,166661,166661,1247706,322225,1569931,7790743,6220812,4768660,2899218,566000,384913,934200,1098507,93000,33078,84000,143845,33960,6373,90012,90012,,1300000,8709004,9031229,2.167545,0,0.258254,0.355677,1.71244,0.607973,1.0,0.213385,1.0,12.0,145150.066667,6882076,9,0,11
