file,code,short_name,academic_year,figures_checked,confirmed,missing,missing_detail
N01_安溪_110.json,N01,安溪,110,53,53,0,
N02_山北_110.json,N02,山北,110,55,55,0,
N03_龍埔成長_110.json,N03,龍埔成長,110,52,52,0,
N03_龍埔成長_111.json,N03,龍埔成長,111,51,51,0,
N04_海工_110.json,N04,海工,110,52,52,0,
N05_漢翔_110.json,N05,漢翔,110,53,53,0,
N05_漢翔_111.json,N05,漢翔,111,52,52,0,
N06_昌平_110.json,N06,昌平,110,53,53,0,
N07_北大_110.json,N07,北大,110,52,52,0,
N08_鷺江_110.json,N08,鷺江,110,54,54,0,
N09_安興_110.json,N09,安興,110,54,54,0,
N10_大觀_110.json,N10,大觀,110,53,53,0,
N10_大觀_111.json,N10,大觀,111,52,52,0,
N11_新林_110.json,N11,新林,110,51,51,0,
N12_昌福_110.json,N12,昌福,110,51,51,0,
N13_三多_110.json,N13,三多,110,52,52,0,
N13_三多_111.json,N13,三多,111,52,52,0,
N14_積穗_110.json,N14,積穗,110,55,54,1,"balance_sheet.current_assets_total=5,536,284"
N15_新月_110.json,N15,新月,110,54,54,0,
N16_中平_110.json,N16,中平,110,53,53,0,
N17_中正_110.json,N17,中正,110,55,55,0,
N18_福營_110.json,N18,福營,110,52,52,0,
N19_中園_110.json,N19,中園,110,52,51,1,"balance_sheet.current_assets_total=5,830,476"
N20_柏翠_110.json,N20,柏翠,110,48,47,1,"balance_sheet.current_liabilities_total=6,402,251"
N20_柏翠_111.json,N20,柏翠,111,49,49,0,
N21_文創_110.json,N21,文創,110,56,56,0,
N21_文創_111.json,N21,文創,111,55,55,0,
N22_文仁_110.json,N22,文仁,110,54,54,0,
N22_文仁_111.json,N22,文仁,111,53,53,0,
N23_菁湖_110.json,N23,菁湖,110,51,51,0,
N23_菁湖_111.json,N23,菁湖,111,52,52,0,
N24_佳林_110.json,N24,佳林,110,52,52,0,
N24_佳林_111.json,N24,佳林,111,52,52,0,
N25_碧城_110.json,N25,碧城,110,51,51,0,
N26_新店及人_110.json,N26,新店及人,110,49,49,0,
N26_新店及人_111.json,N26,新店及人,111,51,51,0,
N27_育平_110.json,N27,育平,110,51,51,0,
N27_育平_111.json,N27,育平,111,51,51,0,
N28_新樂_110.json,N28,新樂,110,48,48,0,
N28_新樂_111.json,N28,新樂,111,52,52,0,
N31_翠中_111.json,N31,翠中,111,45,45,0,
N32_板橋員工子女_111.json,N32,板橋員工子女,111,50,50,0,
