operator,parks,penalised_parks,penalty_records,total_fine,nonmonetary_sanctions,penalised_share,parks_list
財團法人三之三生命教育基金會,13,2,3,96000,0,0.154,"中正,文創,淡海,菁湖,漢翔,山北,桃子腳,文中,新樂,昌平,翠中,崁頂,積穗"
社團法人中華音樂舞蹈暨表演藝術教育協會,4,4,9,66000,0,1.0,"新林,北大,國防部陸軍司令部前鋒員工子女,碧城"
財團法人彭婉如文教基金會,4,1,1,6000,0,0.25,"國家教育研究院員工子女,新月,育平,鷺江"
社團法人臺灣兒童教育發展協會,3,1,4,156000,0,0.333,"安興,文仁,佳林"
明新學校財團法人明新科技大學,3,2,3,120000,0,0.667,"北大,昌福,新林"
康寧學校財團法人康寧大學,3,0,0,0,0,0.0,"新店民安,政府新北捷運員工子女,佳和"
社團法人新北市中華國際嬰幼兒發展學會,2,0,0,0,0,0.0,"中平,大觀"
財團法人成長文教基金會,2,0,0,0,0,0.0,"龍埔成長,中園"
財團法人仁德醫護管理專科學校,2,1,2,66000,0,0.5,"安興,碧城"
財團法人台北基督教女青年會,1,0,0,0,0,0.0,政府板橋員工子女
社團法人新竹市教保人員協會,1,0,0,0,0,0.0,行政院新莊聯合辦公大樓各進駐機關員工子女
財團法人台北市中華基督教青年會,1,0,0,0,0,0.0,清水高中
社團法人中華兆陽文教發展協會,1,1,2,12000,0,1.0,福營
財團法人心路社會福利基金會,1,0,0,0,0,0.0,柏翠
社團法人新北市巧湖溫馨關懷發展協會,1,0,0,0,0,0.0,東湖
財團法人新北市私立及人高級中學,1,0,0,0,0,0.0,新店及人
社團法人新北市幼兒成長協會,1,0,0,0,0,0.0,海工
財團法人享翔葉克膜教育基金會,1,0,0,0,0,0.0,佳家
社團法人中華幼兒創造思考教育學會,1,0,0,0,0,0.0,明德
社團法人中華巧耕多元教育發展協會,1,0,0,0,0,0.0,三多
中華民國文教產業發展暨補習服務品保協會,1,1,7,138000,0,1.0,昌福
廣亞學校財團法人設立之廣亞學校財團法人育達科技大學,1,0,0,0,0,0.0,三多
社團法人新北市多元教育協會,1,0,0,0,0,0.0,永翠
社團法人桃園市教保服務人員協會,1,0,0,0,0,0.0,安溪
社團法人臺灣澄芽全人文教發展協會,1,1,2,90000,0,1.0,文中
