code,short_name,academic_year,personnel_budget,personnel_actual,personnel_shortfall,personnel_execution,development_expense,development_unbudgeted,ratio_transfer_to_shortfall
N28,新樂,113,18637311,14347554,4289757,0.7698,4220261,1,0.984
N29,東湖,111,17819480,14214119,3605361,0.7977,1390000,1,0.386
N15,新月,113,19454696,16137029,3317667,0.8295,4485615,1,1.352
N23,菁湖,112,8033627,4776110,3257517,0.5945,2815348,1,0.864
N28,新樂,112,18250021,14997656,3252365,0.8218,3968524,1,1.22
N15,新月,112,19034250,15815742,3218508,0.8309,4204827,1,1.306
N35,桃子腳,113,17561422,14384345,3177077,0.8191,1270727,1,0.4
N32,板橋員工子女,111,15881919,12821946,3059973,0.8073,1364404,1,0.446
N03,龍埔成長,112,8339301,5280926,3058375,0.6333,2393000,1,0.782
N26,新店及人,112,9057827,6209038,2848789,0.6855,,0,
N33,淡海,113,16837171,13994993,2842178,0.8312,4089648,1,1.439
N29,東湖,112,20947030,18104935,2842095,0.8643,3200000,1,1.126
N27,育平,112,8936062,6138401,2797661,0.6869,2957802,1,1.057
N15,新月,111,16878076,14262637,2615439,0.845,3653150,1,1.397
N28,新樂,111,17814708,15206445,2608263,0.8536,1467200,1,0.563
N38,崁頂,113,17773532,15226479,2547053,0.8567,1421287,1,0.558
N29,東湖,113,21395049,18850777,2544272,0.8811,3590000,1,1.411
N32,板橋員工子女,113,17403771,14911253,2492518,0.8568,2687656,1,1.078
N05,漢翔,113,8784257,6363884,2420373,0.7245,2575405,1,1.064
N32,板橋員工子女,112,16154254,13743920,2410334,0.8508,2632970,1,1.092
N05,漢翔,112,7349453,5032018,2317435,0.6847,1782519,1,0.769
N08,鷺江,112,8837758,6549857,2287901,0.7411,2729845,1,1.193
N17,中正,113,13136880,10895768,2241112,0.8294,2565534,1,1.145
N17,中正,112,12874950,10661543,2213407,0.8281,2594685,1,1.172
N14,積穗,113,17686827,15550045,2136782,0.8792,1274758,1,0.597
N06,昌平,112,8975553,6839375,2136178,0.762,2039112,1,0.955
N12,昌福,113,8859850,6740619,2119231,0.7608,2247000,1,1.06
N30,文中,113,9784435,7736019,2048416,0.7906,2704670,1,1.32
N26,新店及人,110,8220274,6187424,2032850,0.7527,1166000,1,0.574
N20,柏翠,112,14868462,12881177,1987285,0.8663,,0,
N07,北大,111,16463139,14516199,1946940,0.8817,1400000,1,0.719
N17,中正,111,12579209,10636839,1942370,0.8456,509500,1,0.262
N09,安興,112,5268163,3361395,1906768,0.6381,1930000,1,1.012
N20,柏翠,113,15188322,13308102,1880220,0.8762,,0,
N04,海工,112,4768660,2899218,1869442,0.608,1300000,1,0.695
