id,title,type,town,place_id,rating,review_count,sampled,n_low,latest_review,fetched_at,status
8731db07-330b-449b-bb0f-ed6c3f040101,新北市私立智盛幼兒園,私立,林口區,ChIJw8Yznd-mQjQRQaLxkeYR_4Q,1.8,5,5,4,2023-08-30,2026-09-13,ok
b4982ad9-ae8e-4528-8232-e922ee0eca31,新北市私立幼苗國際幼兒園,私立,三重區,ChIJrc0-w8KoQjQRWjdal2zkAEY,4.7,220,5,0,2025-12-31,2026-09-13,ok
d3529bca-98d5-4761-9ff3-40ee3716d1dc,新北市私立景光幼兒園,私立,中和區,ChIJgRK58q8DaDQRxGmtrUg3Xc4,4.8,4,4,0,2026-04-20,2026-09-13,ok
148001c6-5150-43d5-8a64-5937a9dd2e3a,新北市私立維珍妮幼兒園,私立,五股區,ChIJ1WWa7lSvQjQRjLZdDTnmTrY,4.6,12,5,0,2023-05-19,2026-09-13,ok
4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,私立,新莊區,ChIJpWF6tX2oQjQRK9mtnJEdnRU,4.4,19,5,0,2024-11-10,2026-09-13,ok
60ff647e-9f81-40a8-8f7e-9aa54cac7dc8,新北市私立學仕幼兒園,私立,三重區,ChIJZTGIFOKoQjQRHxq5IBmFuHA,3,6,5,3,2026-07-12,2026-09-13,ok
d1593649-cd42-4325-a826-900e719f0680,新北市私立南蒂亞幼兒園,私立,林口區,ChIJj1VoRjunQjQRhlKFIP8zHck,4.9,59,5,0,2026-05-15,2026-09-13,ok
d61a1eba-cf26-4627-b11a-15bf04a64a57,新北市私立緹家寶幼兒園,私立,板橋區,ChIJmXB1YBKoQjQRtma6BXijfL0,3.7,3,3,1,2020-10-18,2026-09-13,ok
00ac631e-b98e-428f-9d79-d10a4ed4ed9a,新北市私立嘉府幼兒園,私立,土城區,ChIJRxdwA8kCaDQRgQq9d-oWdQ0,3,2,2,1,2023-11-02,2026-09-13,ok
30f43a37-8653-43fb-bc32-9ded0c010e9a,新北市私立兆元幼兒園,私立,中和區,ChIJOTgTDkwDaDQRRDoKWuspU3w,4.9,12,5,0,2025-04-11,2026-09-13,ok
