channel,institution_id,institution_title,headline,url,published,publisher,attribution_basis,kind,status
apify_threads,7e4091bb-f0ee-4a6a-80f5-3c14da4077b9,新北市私立森林幼兒園,"[routine] 我們幼兒園的前身是森林幼兒園，在1990年代，它算是一個承接更早的媽媽幼兒園，類似現在家長自組共學的型態。承接後，這個山上的社區並不容易立案，森林幼兒園也就是一個可以說是跟德國森林幼兒園理念相近的組織。

森林幼兒園時代，所在地主要在兩個地方：一個是在現在社區花園二路的某大樓一樓。另一個是在新城大道口的一處農舍與戶外園地。兩個我都去過，因為當時，我就認識森林",https://www.threads.com/@discover._.learning/post/DcXdph_Ertw,2026-08-23,Threads @discover._.learning,標題以機構名稱形式出現可辨識名稱,unclear,待人工研判
news_rss,7196f653-1692-4cdc-9408-0ec0514cd563,新北市私立福音幼兒園,新北板橋福音幼兒園爆不當管教　2教保員強制罪起訴　1人不起訴 - UDN,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1MVnpkUWVxTkJpc0FZeWJxandaSVN3OXRvLS1QUGlyZDl6TTVacm84aHBnQVFrQmRhT0RiZlNkc0lUQ0RtSGlRUm5uV2FZQ0pj0gFWQVVfeXFMTUFUNlQtS2lCX28wZmx3Z2JJUTI0bVFla3VsY0RYeDFKVFhjekdLZzFYR1VYdFJIMEU2RHQ1SXVtUzZfd01PUkhjV3BwUF9fZnlCX2pZMEE?oc=5,2026-07-23,UDN,標題以機構名稱形式出現可辨識名稱,unclear,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,教職員持剪刀嚇幼生 新莊私立吉尼爾幼兒園罰30萬、停招1年 - 自由時報,https://news.google.com/rss/articles/CBMiZEFVX3lxTFBVTlUxX2ZydGwwN1EtaUsxeFRKT3kwSDd6dDdTWkk0TzNmbzdxMnRId3UyUGFfX1AyN1dSVDFKQWRfLXBWeVhWWXhWQTJNNDF3VVVjTDFpNVRUQWdiYU5DSC1lOHo?oc=5,2026-04-24,自由時報,標題以機構名稱形式出現可辨識名稱,unclear,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,爆虐童遭開罰！ 新莊吉尼爾幼兒園最重恐停辦 - 台視全球資訊網,https://news.google.com/rss/articles/CBMifEFVX3lxTE9aYzJiTTlVZ2g5MWlwUmRDUmU0eXd5b1NtaEFSQWhzMHVlVmtNdnRzblJBNy1EODh1YjB3M01WTGhuTkJZQkNydXhTYTNUbEM1eXJRY0F0R3p0Q29lLTRvS3J4eUZreFJ3a0xrcVhBRkNBek5OMFJGV1hqdS0?oc=5,2026-04-19,台視全球資訊網,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,新莊吉尼爾幼兒園不當管教！ 教育局出手「開罰39萬」 - 壹電視,https://news.google.com/rss/articles/CBMif0FVX3lxTE5STjc0cFBWTGNtb0lnTWlSTXhZSjB0ZG5wYU1uQVRTWGZ4U19PV0FmRkxTMXlRY1hwN1BvMHFDaGtOOFlGZXNwWVU2NmNHblRhamdLMU5QdkNMeGthb0pZbW9VbjRISmdISjlKelRCS3ZES3lSZU1PSDlqbmZfTms?oc=5,2026-04-14,壹電視,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,新莊吉尼爾幼兒園不當管教！ 教育局出手「開罰39萬」 - eracom.com.tw,https://news.google.com/rss/articles/CBMiekFVX3lxTE1sNlFlbjgzaWhaM0dkUUFxb21XeUd2NTdIbURvVUx4eDRpalJBZGg4YlNkb0V6eGx6U2M0OThoaTVDOEV0Zk9fWkZwNkMtUHR0UllCbGJpWGszVEpBbUt6WlowX1pLSjRtd1VaT3RSMktQNTY1d0xlNmx3?oc=5,2026-04-14,eracom.com.tw,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,童遭拍打拖行、持剪威嚇 新莊吉尼爾幼兒園被重罰39萬發聲道歉了 - 台視新聞網,https://news.google.com/rss/articles/CBMiV0FVX3lxTE51cUlqUTRzUUdpVVZkRnRkX0g2aUk4dkNiaG94WDVXSzQ4LURkN01sRHMza1l0OEYxOXFiOGVWT2RiMFcxaTlCUFZCaWF6YXFDdFA4aWZjVQ?oc=5,2026-04-13,台視新聞網,標題以機構名稱形式出現可辨識名稱,unclear,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,獨家／吉尼爾幼兒園爆虐童！ 家長裝密錄揭集體惡行 | EBC 東森新聞 - LINE TODAY,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBLUXFnZnJjMlFrYlNwV1R3VFFYT2RBb1UyM0NTblNzbE8yaDFxcldORktEVDkzQncyU19xZ3MzenF3T0NuQkF6WFlCWHNJS3liMXpZa3FB?oc=5,2026-04-13,LINE TODAY,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,新莊吉尼爾幼兒園「拍打拖行幼童」　遭罰24萬、最重勒令停辦 - ETtoday新聞雲,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9QOHJOVHFldDZJemJ3d2NHeUZQSnlUS0hBSHN4UjBodFV6UWJoeG1WY3A1czVUQ3NiMmw4dkwtUnhwc3h0WU5GS1RyelAtY2NDZmhZOUp4MzF5U1hhamfSAUtBVV95cUxNVmpLNUwwMEtPTGRiT1I2NkN1TXNRcldSYTVyRkVBMWNFZkEyemUzNHc0VC1xYldEazQ2TTFBMHJoRHVSazlDQkkwTVE?oc=5,2026-04-13,ETtoday新聞雲,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,4273705a-5297-4025-a88b-f133cf5f6bca,新北市私立吉尼爾幼兒園,新莊吉尼爾幼兒園爆虐童！3教職員拍打+拖行 教育局重罰24萬 - TVBS新聞網,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBTM2RFMW5mZmdOUlJIc3MzTmIxVmRvSjNPNzNCM1dIVG5fNGxEYjdKemQ3RmZfTEtkRDh2VmxkZkMwOXBpT1Voak9POGNBelE?oc=5,2026-04-13,TVBS新聞網,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
