code,short_name,reserve,prev_year,year,prev_asset,prev_liability,asset,liability,prev_gap,gap,gap_delta,asset_matches_prev_liability,verdict,note
N01,安溪,業務發展準備,112,113,10479844,10479844,13699844,15899844,0,2200000,2200000,0,缺口擴大,"缺口自 0 增至 2,200,000 元（增加 2,200,000），且資產面與前一年度負債面不相當，建議查核專戶存入憑證"
N08,鷺江,資遣費準備,110,111,191999,191999,216452,240905,0,24453,24453,0,缺口擴大,"缺口自 0 增至 24,453 元（增加 24,453），且資產面與前一年度負債面不相當，建議查核專戶存入憑證"
N08,鷺江,資遣費準備,111,112,216452,240905,290996,290996,24453,0,-24453,0,缺口縮小,"缺口自 24,453 降至 0 元，與補撥一致"
N10,大觀,業務發展準備,111,112,3686000,3686000,3686000,3862650,0,176650,176650,1,疑似撥付落後一年,"本年度資產面 3,686,000 ≈ 前一年度負債面 3,686,000，缺口自 0 增至 176,650 元，符合當年提列次年撥入之型態"
N10,大觀,資遣費準備,111,112,242493,242493,242493,298187,0,55694,55694,1,疑似撥付落後一年,"本年度資產面 242,493 ≈ 前一年度負債面 242,493，缺口自 0 增至 55,694 元，符合當年提列次年撥入之型態"
N10,大觀,業務發展準備,112,113,3686000,3862650,5572550,5572550,176650,0,-176650,0,缺口縮小,"缺口自 176,650 降至 0 元，與補撥一致"
N10,大觀,資遣費準備,112,113,242493,298187,335006,335006,55694,0,-55694,0,缺口縮小,"缺口自 55,694 降至 0 元，與補撥一致"
N13,三多,業務發展準備,110,111,2300000,3200000,3200000,4300000,900000,1100000,200000,1,疑似撥付落後一年,"本年度資產面 3,200,000 ≈ 前一年度負債面 3,200,000，缺口自 900,000 增至 1,100,000 元，符合當年提列次年撥入之型態"
N13,三多,業務發展準備,111,112,3200000,4300000,4300000,5500000,1100000,1200000,100000,1,疑似撥付落後一年,"本年度資產面 4,300,000 ≈ 前一年度負債面 4,300,000，缺口自 1,100,000 增至 1,200,000 元，符合當年提列次年撥入之型態"
N13,三多,業務發展準備,112,113,4300000,5500000,5500000,7500000,1200000,2000000,800000,1,疑似撥付落後一年,"本年度資產面 5,500,000 ≈ 前一年度負債面 5,500,000，缺口自 1,200,000 增至 2,000,000 元，符合當年提列次年撥入之型態"
N19,中園,資遣費準備,110,111,130950,159229,217841,217841,28279,0,-28279,0,缺口縮小,"缺口自 28,279 降至 0 元，與補撥一致"
N20,柏翠,資遣費準備,111,112,229670,229670,230882,312600,0,81718,81718,1,疑似撥付落後一年,"本年度資產面 230,882 ≈ 前一年度負債面 229,670，缺口自 0 增至 81,718 元，符合當年提列次年撥入之型態"
N20,柏翠,資遣費準備,112,113,230882,312600,397250,397250,81718,0,-81718,0,缺口縮小,"缺口自 81,718 降至 0 元，與補撥一致"
N21,文創,資遣費準備,110,111,47190,49824,90127,90127,2634,0,-2634,0,缺口縮小,"缺口自 2,634 降至 0 元，與補撥一致"
